ID,TYPE,SIMPLEX,DEGREE,VALUE,PARENT
0,merge,,-1,11.204,
1,source,2325,1,0,0
2,merge,,-2,9.641,0
3,sink,4520,1,0,2
4,merge,,-3,8.292,2
5,saddle,6524,1,0,4
6,merge,,-2,7.945,4
7,merge,,-2,7.484,6
8,merge,,0,0.907,6
9,merge,,-1,6.304,7
10,saddle,1366,-1,0,7
11,saddle,571,-1,0,8
12,sink,335,1,0,8
13,saddle,3792,-1,0,9
14,merge,,1,3.744,9
15,saddle,3595,-1,0,14
16,source,3472,1,0,14
