VX,VY
-3.260294,7.366542
-2.220517,6.950204
-1.233604,6.469398
-0.261626,5.628747
0.508220,4.446974
1.008395,2.944993
0.650946,1.225332
0.326534,-0.846487
0.224600,-2.514029
-1.176674,-2.979402
-2.452102,-2.799150
-3.318429,-3.365535
-3.455856,-6.091629
-2.008607,-10.144071
-1.248571,-12.805837
-1.002403,-13.688367
-0.632396,-13.535545
-9.262221,-3.003580
-9.397326,-3.511873
-10.278727,-3.103181
-10.692612,-0.314828
-10.310991,3.513525
-10.019896,4.271076
-10.964520,3.272446
-12.417659,2.818095
-13.118144,3.983447
-12.748196,4.541626
-12.511960,5.579583
-11.962909,6.566786
-11.644742,7.776603
-11.309556,8.290151
-10.283341,7.612829
-9.754432,6.582674
-9.724315,5.335239
-10.500666,4.171512
-10.896293,2.483814
-11.083580,0.840773
-11.460430,-0.658562
-12.208682,-1.751908
-12.603569,-2.329114
-12.112948,-2.036605
-11.754953,0.460331
-10.378446,3.556990
-9.179057,5.309744
-8.782113,5.131513
-9.216729,4.775386
-11.156629,4.663721
-12.626826,4.167426
-13.383079,3.626032
-13.771336,3.522376
-13.860187,3.740661
-13.123216,3.822986
-12.383787,4.479758
-11.474343,5.099746
-10.333302,5.810518
-9.367091,6.548141
-7.740818,6.483229
-6.554731,6.761709
-5.440486,6.902714
-4.373547,6.860153
-3.257561,6.544764
-2.242298,5.997762
-1.514109,5.449742
-0.736166,4.676553
-0.054751,3.597441
0.496405,2.276155
0.118435,0.878974
-0.216452,-0.684346
-0.139448,-1.952800
-1.547295,-2.212671
-2.628655,-2.190998
-3.525625,-3.066337
-3.294731,-6.096472
-1.728673,-10.324003
-1.054042,-13.147259
-0.939702,-14.201071
-1.050428,-14.087695
-8.425976,-2.219696
-8.742178,-2.880619
-9.984431,-2.679574
-10.125288,-1.171636
-9.559608,2.447483
-8.981810,5.625268
-9.637430,5.173574
-11.796050,3.830478
-12.223383,3.872251
-11.941103,4.485018
-12.041808,5.289502
-11.849588,6.210479
-11.289470,7.052259
-10.584304,7.469076
-9.800071,7.138056
-9.413028,6.352119
-8.995441,5.122726
-9.555467,4.060127
-9.917028,2.627522
-9.825671,1.096925
-10.065460,-0.298698
-10.850916,-1.367493
-11.387830,-2.269530
-11.161970,-2.774617
-11.563397,-1.686463
-11.078408,1.056920
-9.606468,4.290615
-8.285675,6.078777
-7.789212,6.119712
-8.252856,6.125266
-9.085397,5.066127
-9.499569,4.156354
-10.358596,4.456511
-10.898082,4.250065
-10.503593,4.156185
-10.207710,4.540738
-9.738226,4.874299
-8.803117,5.522154
-8.232378,5.883037
-7.169104,5.757128
-6.017052,5.900364
-5.088654,6.056807
-4.297591,6.115928
-3.412209,5.945993
-2.517652,5.387665
-1.925573,4.746036
-1.278967,3.948904
-0.836860,3.005467
-0.374153,1.890052
-0.708322,0.782481
-0.915463,-0.464225
-0.990093,-1.333013
-2.257424,-1.406565
-2.765902,-1.658589
-3.508333,-2.860818
-3.019238,-6.197936
-1.551033,-10.456168
-1.105668,-13.339466
-1.309930,-14.432218
-1.833504,-14.279988
-7.324800,-1.604392
-8.147010,-2.119812
-9.183845,-2.455690
-8.976665,-2.282737
-8.557309,0.797397
-8.280586,6.219822
-8.418715,7.350232
-10.541784,5.718599
-11.797602,4.935183
-11.968556,4.825599
-12.315981,5.355969
-12.005886,5.839591
