VX,VY
2.64001,-7.456213
-10.86999,-5.046213
-7.709985,-3.496213
-5.519985,-0.5062134
-5.279985,0.2437866
-3.169985,1.273787
-2.429985,1.933787
-2.419985,0.1537866
2.290015,-14.09621
6.530015,-12.47621
10.23001,-8.306213
13.06001,-4.816213
13.60001,-1.056213
14.22001,3.883786
13.24001,7.343786
9.870014,8.013786
8.050014,7.523787
6.190014,8.323787
5.410015,7.913786
3.340014,5.623786
-1.469985,6.303786
-2.909985,6.523787
-3.239985,5.923787
-6.069985,4.653787
-9.269985,1.433787
-10.67999,1.783787
-11.39999,2.693787
-11.88999,0.7937866
-11.90999,0.8537866
-12.46999,2.233787
-12.35999,1.073787
-13.55999,-1.746213
-15.70998,-2.426213
-15.91998,-1.536213
-16.57998,-1.116213
-17.42999,-1.226213
-17.16998,-1.896213
-17.09999,-2.606213
-16.67999,-2.826213
-14.83998,-1.586213
-12.31999,-1.076213
-9.919985,-2.366213
-7.839985,-2.726213
-3.639985,-0.9362134
-1.809985,1.573787
-1.669985,1.343787
-2.219985,0.7637866
-4.019985,0.0138
-6.089985,-0.5262133
6.110014,-9.296213
7.920014,-7.096213
8.920014,-4.906213
9.600015,-2.676213
10.41001,0.6837866
9.770015,3.523787
7.610014,4.873786
6.320014,5.523787
5.270015,5.373786
3.790015,6.173787
2.090015,6.683786
-1.549985,6.713787
-3.479985,6.633787
-4.609985,4.643786
-7.479985,4.173787
-8.609985,2.603786
-9.129985,0.4337866
-8.509985,0.9137866
-9.149985,0.5037866
-11.43999,0.2837866
-11.61998,0.2137866
-12.69999,-0.1762134
-13.48999,-1.226213
-13.35999,-3.436213
-13.69999,-2.776213
-12.67999,-0.6262134
-12.02999,-0.3162134
-12.01999,-0.5762134
-11.38999,-0.5462134
-10.65999,-0.8062134
-9.359985,-0.5562134
-7.059985,1.873787
-4.589985,3.343786
-2.799985,1.363787
-1.429985,0.9537866
-2.159985,0.4937866
-3.589985,-0.3962134
-5.259985,-1.576213
-8.699986,-1.086213
-10.57998,-2.696213
-11.50998,-3.866213
0.8800147,-4.526213
2.300014,-4.056213
4.810015,-2.836213
5.990015,-0.9462134
6.440014,0.3637866
5.250014,2.123787
4.630014,4.203786
4.750014,4.023787
1.100015,3.693787
-1.049985,5.873786
-1.209985,5.603786
-4.479985,4.863787
-4.839985,5.433786
-5.709985,4.263786
-9.719985,2.963787
-9.339985,1.523787
-8.079986,1.593787
-7.899985,0.9837866
-8.539985,-0.8762134
-10.83998,-1.676213
-12.90998,-2.746213
-14.78998,-2.926213
-15.18999,-4.406213
-13.92999,-5.546213
-13.80999,-3.426213
-14.18999,-2.156213
-12.61998,-2.566213
-11.14999,-3.126213
-10.29998,-1.656213
-7.979985,2.123787
-5.449985,4.983787
-5.269985,6.003787
-6.649985,5.753787
-6.779985,2.873786
-5.979985,0.6037866
-8.699986,-2.126213
-14.28998,-3.966213
-13.62998,-2.416213
-15.16998,-2.066213
-15.30999,-4.276213
-13.84999,-3.786213
-0.4799853,-5.106213
1.530015,-2.936213
2.650015,-1.456213
2.420015,-0.8062134
2.310014,0.2137866
1.700015,1.993787
0.8400146,3.723787
0.5300146,1.393787
-1.639985,0.1237866
-3.779985,2.813787
-3.479985,2.923787
-5.189985,3.433787
-7.529985,4.393786
-8.049985,3.713787
-9.409986,2.093786
-10.51999,0.8037866
-11.16998,1.613787
-12.17999,0.6137866
-12.11998,-1.956213
-11.56999,-4.766213
-12.93999,-5.966213
-13.86998,-6.126213
-14.65998,-8.716213
-15.65998,-8.466213
-15.87998,-5.846213
-15.87998,-4.306213
-14.16998,-2.746213
-12.45998,-1.656213
-11.54998,1.143787
-12.07998,5.473786
-13.29998,7.483787
-14.02999,6.263786
-14.97999,4.723786
-17.64998,2.573786
-18.07998,-1.396213
-16.25998,-2.476213
-16.53999,-2.136213
-16.36999,-2.046213
-15.94998,-2.806213
-15.18999,-3.826213
-14.93999,-2.656213
-0.9599853,-3.696213
-0.8099853,-2.096213
-1.989985,-2.436213
-1.709985,-1.176213
-1.379985,1.003787
-2.239985,0.9137866
-3.539985,1.443787
-4.179985,0.0738
-2.269985,0.3637866
-1.239985,2.583786
-2.079985,3.173787
-5.849985,5.063787
-10.61999,4.593787
-10.73999,2.813787
-9.989985,1.393787
-11.14999,0.3637866
-12.29998,-0.5662134
-12.91998,-2.566213
-12.51999,-4.336213
-11.79998,-7.076213
-12.84999,-7.726213
-12.64999,-7.756213
-12.55999,-9.526213
-14.06999,-9.126213
-15.17999,-7.006213
-14.72999,-4.886213
-13.02999,-2.076213
-12.47999,0.7837866
-11.87998,3.423787
-12.92999,5.403787
-14.05999,5.713787
-14.18999,5.623786
-14.26999,4.623786
-16.51999,2.063787
-17.33998,-1.286213
-15.35999,-2.126213
-15.54998,-2.996213
-15.87998,-4.006213
-15.53998,-4.306213
-14.36998,-4.106213
-13.65998,-2.296213
-3.979985,-3.036213
-4.169985,-3.946213
-4.539985,-3.586213
-4.129985,-0.8362134
-4.489985,0.1037866
-5.339985,0.4437866
-5.659985,0.9237866
-6.479985,-0.9862134
-5.239985,1.123787
-5.329985,3.703787
-7.009985,2.993787
-9.849985,2.973787
-12.79998,1.993787
-13.05999,1.243787
-12.96999,0.5537866
-12.93999,-0.1162134
-13.37998,-1.156213
-13.42999,-2.466213
-13.20998,-4.166214
-11.86998,-6.616213
-10.83998,-6.366213
-11.84999,-7.436213
-12.65999,-10.80621
-12.28998,-11.04621
-13.06999,-6.416213
-12.87998,-1.496213
-10.79998,1.863787
-9.869986,3.463787
-9.019985,3.693787
-8.499985,4.313787
-8.229985,3.223787
-11.90999,4.803786
-16.36999,4.283786
-16.49998,2.183787
-16.44999,0.1737866
-15.76999,-1.516213
-14.45998,-2.776213
-14.24998,-3.986213
-14.07998,-5.616213
-12.08998,-6.516213
-10.60999,-6.126213
-6.099985,-2.676213
-5.619985,-4.536213
-5.299985,-2.866213
-5.829985,-0.4262134
-5.799985,-1.026213
-6.139985,-0.2462134
-8.329986,-0.1762134
-8.749985,-1.076213
-7.279985,1.613787
-10.51999,2.653787
-12.13999,1.883787
-11.68999,2.163787
-12.65999,1.393787
-12.49998,0.7037866
-12.69999,0.6437866
-13.66998,-0.6462134
-14.93999,-2.086213
-14.44999,-2.916213
-13.73999,-4.616213
-11.53998,-6.226213
-9.909986,-6.356213
-11.37998,-9.286213
-10.32998,-12.54621
-6.779985,-11.00621
-5.899985,-5.286213
-6.079985,0.4237866
-5.069985,3.743787
-4.259985,4.603786
-2.539985,4.283786
-2.719985,3.043787
-5.419985,0.6537866
-10.37998,3.363786
-15.62998,3.753787
-15.50998,2.923787
-15.11998,2.603786
-15.32998,1.013787
-14.25998,-0.7362134
-12.95998,-3.056213
-10.97999,-5.046213
-9.459985,-5.546213
-7.399985,-4.876213
-7.649985,-1.016213
-7.239985,-3.806213
-6.839985,-2.776213
-7.329985,-1.196213
-7.609985,-1.946213
-7.439985,-1.466213
-9.239985,-1.796213
-11.33998,-1.296213
-12.50998,2.063787
-12.93999,2.813787
-10.77999,0.5437866
-10.82998,0.1937866
-12.03998,1.143787
-12.18999,0.3637866
-13.26999,0.2737866
-13.97999,-0.5762134
-14.44999,-1.846213
-14.34999,-2.966213
-13.90998,-3.866213
-12.66998,-5.206213
-11.16998,-6.966213
-9.659986,-8.686213
-7.299985,-9.176213
-5.609985,-7.656213
-3.419985,-4.346213
-0.7299854,1.133787
0.6500146,3.893786
1.210015,3.803787
1.870015,1.163787
-1.649985,-3.206213
-8.439985,-2.506213
-12.46999,1.653787
-14.49998,1.713787
-14.87998,1.203787
-14.33998,1.413787
-13.71999,0.5537866
-11.56999,-0.9362134
-10.35999,-2.116213
-8.299985,-3.166213
-6.779985,-3.436213
-5.179985,-1.656213
-9.599985,-0.3962134
-9.209985,-3.466213
-8.899985,-2.516213
-9.409986,-1.466213
-9.679985,-2.916213
-9.439985,-2.166213
-9.109985,-2.386213
-10.19999,-4.026213
-11.87998,-2.066213
-9.569985,1.193787
-8.009985,1.683787
-10.30999,0.0438
-11.39999,-0.7362134
-13.01999,-1.596213
-14.82998,-1.046213
-15.20998,-1.166213
-15.63999,-2.766213
-16.02999,-4.456213
-15.03998,-4.816213
-13.78998,-5.466213
-11.58998,-6.196213
-8.439985,-6.196213
-5.549985,-6.036213
-3.269985,-4.366213
-0.1299853,-1.356213
0.3900146,2.543787
