SIMPLEX,TYPE,ROBUSTNESS
297,3,0
575,3,0
758,3,0
1087,3,0
1098,3,0
1124,3,0
1125,3,0
1148,3,0
1151,3,0
1183,3,0
1220,3,0
1261,3,0
1264,3,0
1266,3,0
1310,3,0
1312,3,0
1313,3,0
1350,3,0
1578,3,0
1580,3,0
1581,3,0
1583,3,0
1762,3,0
1778,3,0
1869,3,0
1965,3,0
2425,3,0
2481,3,0
2872,3,0
2912,3,0
2970,3,0
3087,3,0
3089,3,0
3096,3,0
4324,3,0
4416,3,0
4467,3,0
4510,3,0
4511,3,0
4576,3,0
4604,3,0
4761,3,0
4774,3,0
4951,3,0
