U,V
-5.143733,-0.76
-5.943733,0.02
-6.143733,0.86
-5.563733,1
-5.153733,-0.28
-4.863733,-1.02
-4.233733,-0.38
-3.313733,-0.2
-3.023733,-0.74
-3.673733,-1.54
-4.213733,-1.99
-4.753733,-1.71
-5.623733,-0.96
-6.413733,-0.11
-7.013733,0.32
-7.303733,0.42
-7.153733,0.64
-6.303733,0.67
-6.003733,0.16
-6.013733,-0.65
-4.883733,-1.16
-4.143733,-0.66
-4.603733,0.33
-5.363733,1.64
-6.293733,2.97
-7.753733,3.37
-9.563733,2.93
-11.43373,1.82
-12.60373,1
-12.71373,0.68
-12.89373,0.39
-13.70373,0.29
-12.98373,0.36
-11.04373,-0.2
-11.20373,-0.029999999
-12.71373,0.98
-13.99373,2.15
-12.19373,1.6
-9.073732,-0.84
-8.483733,-0.76
-9.053733,1.01
-10.43373,1.69
-11.96373,1.51
-10.74373,0.17
-8.873733,-0.28
-9.393733,0.68
-9.283732,0.86
-8.193732,-0.71
-5.913733,0.39
-6.883733,0.72
-6.983733,1.04
-5.923733,0.97
-5.283733,-0.45
-4.883733,-1.54
-4.023733,-0.9899999
-3.573733,-0.26
-4.023733,-0.69
-4.543733,-1.88
-4.493733,-2.23
-4.863733,-1.54
-5.693733,-0.51
-6.123733,0.21
-6.093733,0.46
-6.113733,0.57
-6.473733,0.81
-6.143733,0.71
-5.263733,0.18
-4.783733,-0.18
-4.233733,0.2
-4.143733,1.12
-5.113733,2
-6.463733,3.21
-7.423733,4.28
-8.593733,4.82
-10.45373,4.16
-11.85373,2.25
-12.43373,0.56
-12.37373,-0.12
-12.52373,-0.33
-12.99373,0.13
-12.28373,0.63
-11.45373,0.83
-12.04373,1.64
-12.59373,2.3
-12.16373,2.43
-10.61373,1.49
-9.483732,-0.01
-9.703732,0.43
-10.03373,1.46
-11.03373,1.36
-11.49373,0.64
-11.50373,-0.66
-11.56373,-1.45
-10.42373,-1.19
-8.263733,-0.24
-7.133733,-1.18
-5.783733,1.36
-6.863733,1.19
-6.943733,0.9
-6.013733,0.4
-5.483733,-1.37
-4.423733,-2.62
-3.143733,-1.65
-3.443733,-0.26
-4.263733,-0.67
-4.023733,-2.02
-3.723733,-2.15
-4.813733,-1
-5.993733,0.099999994
-5.633733,0.58
-4.793733,1.03
-4.513733,1.63
-5.033733,1.67
-5.583733,0.92
-5.313733,0.12
-4.983733,0.19
-4.913733,1.1
-5.413733,2.07
-6.423733,3.02
-7.493733,4.02
-7.713733,4.76
-8.533732,5.72
-10.38373,5.58
-10.55373,3.43
-9.693732,0.56
-9.313733,-1.02
-9.973733,-0.52
-10.89373,0.95
-10.97373,1.99
-11.25373,2.73
-11.29373,2.41
-9.433733,2.06
-8.643733,2.06
-10.13373,1.19
-11.19373,0.53
-11.38373,0.88
