X,Y
-51,-13.5
-52.5,-13.5
-54,-13.5
-55.5,-13.5
-57,-13.5
-58.5,-13.5
-60,-13.5
-61.5,-13.5
-63,-13.5
-64.5,-13.5
-66,-13.5
-67.5,-13.5
-69,-13.5
-70.5,-13.5
0,-15
-1.5,-15
-3,-15
-4.5,-15
-6,-15
-7.5,-15
-9,-15
-10.5,-15
-12,-15
-13.5,-15
-15,-15
-16.5,-15
-18,-15
-19.5,-15
-21,-15
-22.5,-15
-24,-15
-25.5,-15
-27,-15
-28.5,-15
-30,-15
-31.5,-15
-33,-15
-34.5,-15
-36,-15
-37.5,-15
-39,-15
-40.5,-15
-42,-15
-43.5,-15
-45,-15
-46.5,-15
-48,-15
-49.5,-15
-51,-15
-52.5,-15
-54,-15
-55.5,-15
-57,-15
-58.5,-15
-60,-15
-61.5,-15
-63,-15
-64.5,-15
-66,-15
-67.5,-15
-69,-15
-70.5,-15
0,-16.5
-1.5,-16.5
-3,-16.5
-4.5,-16.5
-6,-16.5
-7.5,-16.5
-9,-16.5
-10.5,-16.5
-12,-16.5
-13.5,-16.5
-15,-16.5
-16.5,-16.5
-18,-16.5
-19.5,-16.5
-21,-16.5
-22.5,-16.5
-24,-16.5
-25.5,-16.5
-27,-16.5
-28.5,-16.5
-30,-16.5
-31.5,-16.5
-33,-16.5
-34.5,-16.5
-36,-16.5
-37.5,-16.5
-39,-16.5
-40.5,-16.5
-42,-16.5
-43.5,-16.5
-45,-16.5
-46.5,-16.5
-48,-16.5
-49.5,-16.5
-51,-16.5
-52.5,-16.5
-54,-16.5
-55.5,-16.5
-57,-16.5
-58.5,-16.5
-60,-16.5
-61.5,-16.5
-63,-16.5
-64.5,-16.5
-66,-16.5
-67.5,-16.5
-69,-16.5
-70.5,-16.5
0,-18
-1.5,-18
-3,-18
-4.5,-18
-6,-18
-7.5,-18
-9,-18
-10.5,-18
-12,-18
-13.5,-18
-15,-18
-16.5,-18
-18,-18
-19.5,-18
-21,-18
-22.5,-18
-24,-18
-25.5,-18
-27,-18
-28.5,-18
-30,-18
-31.5,-18
-33,-18
-34.5,-18
-36,-18
-37.5,-18
-39,-18
-40.5,-18
-42,-18
-43.5,-18
-45,-18
-46.5,-18
-48,-18
-49.5,-18
-51,-18
-52.5,-18
-54,-18
-55.5,-18
-57,-18
-58.5,-18
-60,-18
-61.5,-18
-63,-18
-64.5,-18
-66,-18
-67.5,-18
-69,-18
-70.5,-18
0,-19.5
-1.5,-19.5
-3,-19.5
-4.5,-19.5
-6,-19.5
-7.5,-19.5
-9,-19.5
-10.5,-19.5
-12,-19.5
-13.5,-19.5
-15,-19.5
-16.5,-19.5
-18,-19.5
-19.5,-19.5
-21,-19.5
-22.5,-19.5
-24,-19.5
-25.5,-19.5
-27,-19.5
-28.5,-19.5
-30,-19.5
-31.5,-19.5
-33,-19.5
-34.5,-19.5
-36,-19.5
-37.5,-19.5
-39,-19.5
-40.5,-19.5
-42,-19.5
-43.5,-19.5
-45,-19.5
-46.5,-19.5
-48,-19.5
-49.5,-19.5
-51,-19.5
-52.5,-19.5
-54,-19.5
-55.5,-19.5
-57,-19.5
-58.5,-19.5
-60,-19.5
-61.5,-19.5
-63,-19.5
-64.5,-19.5
-66,-19.5
-67.5,-19.5
-69,-19.5
-70.5,-19.5
0,-21
-1.5,-21
-3,-21
-4.5,-21
-6,-21
-7.5,-21
-9,-21
-10.5,-21
-12,-21
-13.5,-21
-15,-21
-16.5,-21
-18,-21
-19.5,-21
-21,-21
-22.5,-21
-24,-21
-25.5,-21
-27,-21
-28.5,-21
-30,-21
-31.5,-21
-33,-21
-34.5,-21
-36,-21
-37.5,-21
-39,-21
-40.5,-21
-42,-21
-43.5,-21
-45,-21
-46.5,-21
-48,-21
-49.5,-21
-51,-21
-52.5,-21
-54,-21
-55.5,-21
-57,-21
-58.5,-21
-60,-21
-61.5,-21
-63,-21
-64.5,-21
-66,-21
-67.5,-21
-69,-21
-70.5,-21
0,-22.5
-1.5,-22.5
-3,-22.5
-4.5,-22.5
-6,-22.5
-7.5,-22.5
-9,-22.5
-10.5,-22.5
-12,-22.5
-13.5,-22.5
-15,-22.5
-16.5,-22.5
-18,-22.5
-19.5,-22.5
-21,-22.5
-22.5,-22.5
-24,-22.5
-25.5,-22.5
-27,-22.5
-28.5,-22.5
-30,-22.5
-31.5,-22.5
-33,-22.5
-34.5,-22.5
-36,-22.5
-37.5,-22.5
-39,-22.5
-40.5,-22.5
-42,-22.5
-43.5,-22.5
-45,-22.5
-46.5,-22.5
-48,-22.5
-49.5,-22.5
-51,-22.5
-52.5,-22.5
