U,V
-4.908992,-0.89
-5.728992,-0.2
-6.028992,0.6
-5.478992,0.78
-5.108992,-0.44
-4.858992,-1.11
-4.168992,-0.35
-3.168992,-0.07
-2.738992,-0.52
-3.298992,-1.32
-3.958992,-1.8
-4.668992,-1.47
-5.558991,-0.69
-6.338992,0.039999999
-6.908991,0.41
-7.208992,0.48
-7.158991,0.72
-6.388991,0.7
-5.918992,0.19
-5.978992,-0.4
-5.348991,-0.88
-4.518991,-0.74
-4.918992,0.11
-5.618991,1.33
-6.448992,2.66
-8.048991,3.14
-9.968991,2.66
-11.69899,1.58
-12.78899,0.87
-12.66899,0.68
-12.76899,0.34
-13.51899,0.18
-12.63899,0.42
-11.12899,0.089999996
-11.42899,0.49
-12.92899,1.64
-13.86899,2.62
-12.18899,2.05
-9.078992,-0.48
-8.328992,-0.86
-9.358992,1.01
-10.82899,2.01
-11.66899,1.58
-10.37899,0.01
-8.828992,-0.31
-9.158992,0.69
-9.058991,0.9
-8.108992,-0.49
-5.788991,0.33
-6.748991,0.59
-6.778992,0.95
-5.698992,0.91
-5.098991,-0.5
-4.698992,-1.51
-3.878992,-0.81
-3.438992,0.039999999
-3.808992,-0.33
-4.278992,-1.59
-4.318992,-2.09
-4.838992,-1.47
-5.698992,-0.54
-6.068992,0.16
-6.048992,0.51
-6.128992,0.65
-6.508992,0.85
-6.158991,0.69
-5.178992,0.17
-4.578991,-0.099999994
-4.258992,0.27
-4.228992,1
-5.258992,1.95
-6.558991,3.22
-7.458992,4.16
-8.868992,4.5
-10.71899,3.78
-11.80899,2.05
-12.27899,0.59
-12.07899,-0.18
-12.35899,-0.45
-12.75899,0.16
-11.98899,0.74
-11.56899,1.03
-11.88899,2.38
-12.34899,3.35
-11.92899,2.99
-10.65899,1.8
-9.768991,0.54
-9.788992,0.94
-9.988992,1.92
-10.73899,1.72
-10.98899,0.65
-11.00899,-0.69
-11.09899,-1.31
-9.948992,-1.19
-7.948991,-0.22
-6.948992,-1.13
-5.748991,1.29
-6.828991,1.13
-6.788991,0.92
-5.818992,0.43
-5.258992,-1.3
-4.158992,-2.41
-2.938992,-1.33
-3.278992,0.01
-4.008992,-0.48
-3.758992,-1.92
-3.538992,-2.16
-4.678992,-1.04
-5.678992,0.01
-5.308991,0.47
-4.658992,1.04
-4.568992,1.71
-5.248991,1.66
-5.568992,0.83
-5.168992,0.01
-4.938992,0.15
-4.868991,1.14
-5.418992,2.26
-6.478992,3.29
-7.458992,4.17
-7.788991,4.8
-8.918991,5.59
-10.59899,5.27
-10.59899,3.17
-9.808991,0.73
-9.108992,-1.02
-9.698992,-0.73
-10.68899,1.05
-10.85899,2.35
-11.08899,3.61
-10.49899,3.93
-9.018991,3.15
-8.778992,2.33
-10.23899,1.2
-11.43899,0.76
-11.43899,1.2
-10.67899,1.04
-10.28899,0.39
-9.788992,-0.19
