SIMPLEX,TYPE,ROBUSTNESS
390,3,0
577,3,0
758,3,0
846,3,0
847,3,0
1098,3,0
1124,3,0
1125,3,0
1148,3,0
1151,3,0
1218,3,0
1219,3,0
1220,3,0
1244,3,0
1245,3,0
1261,3,0
1312,3,0
1353,3,0
1530,3,0
1531,3,0
1532,3,0
1533,3,0
1760,3,0
1778,3,0
1866,3,0
1965,3,0
2099,3,0
2195,3,0
2346,3,0
2349,3,0
2425,3,0
2574,3,0
2819,3,0
2875,3,0
2970,3,0
3190,3,0
4324,3,0
4416,3,0
4510,3,0
4559,3,0
4576,3,0
4874,3,0
4884,3,0
4885,3,0
