U,V
-5.329363,-0.77
-6.089363,0.02
-6.259363,0.86
-5.719363,1.01
-5.219363,-0.13
-4.859363,-0.89
-4.309363,-0.4
-3.569363,-0.26
-3.399363,-0.87
-3.989363,-1.68
-4.349363,-2.13
-4.819363,-1.93
-5.599363,-1.19
-6.399363,-0.24
-7.109363,0.22
-7.439363,0.36
-7.199363,0.63
-6.289362,0.67
-5.989363,0.15
-6.079363,-0.76
-4.749362,-1.19
-3.779363,-0.59
-4.049363,0.35
-5.179363,1.61
-6.219363,3.17
-7.259363,3.81
-9.109363,3.24
-11.07936,2.02
-12.24936,1.03
-12.67936,0.53
-13.17936,0.26
-13.80936,0.25
-12.99936,0.26
-11.22936,-0.39
-11.12936,-0.61
-12.42936,0.01
-13.73936,1.26
-12.32936,0.73
-9.429362,-1.41
-8.529363,-1.28
-8.779363,0.31
-10.32936,1.17
-12.17936,1.33
-10.97936,0.19
-8.929362,-0.29
-9.559362,0.58
-9.379363,0.78
-8.219362,-0.86
-6.039362,0.41
-7.029363,0.78
-7.179363,1.06
-6.169363,0.9899999
-5.499362,-0.43
-5.079363,-1.6
-4.189363,-1.19
-3.759363,-0.57
-4.289363,-1.04
-4.789363,-2.14
-4.629363,-2.39
-4.889363,-1.63
-5.739363,-0.54
-6.189363,0.19
-6.139363,0.4
-6.149363,0.47
-6.499362,0.72
-6.199363,0.65
-5.309363,0.14
-4.909363,-0.31
-4.269363,0.13
-4.079363,1.17
-5.099363,1.99
-6.499362,3.22
-7.279363,4.43
-8.189363,5.06
-10.10936,4.52
-11.77936,2.5
-12.50936,0.57
-12.51936,-0.19
-12.75936,-0.4
-13.12936,0.089999996
-12.42936,0.39
-11.77936,0.28
-12.36936,0.64
-12.75936,1.15
-12.24936,1.77
-10.90936,1.17
-9.819363,-0.24
-9.799362,0.049999997
-10.01936,0.9899999
-11.08936,1.06
-11.84936,0.61
-11.93936,-0.67
-11.85936,-1.59
-10.73936,-1.27
-8.389362,-0.27
-7.209363,-1.19
-5.809363,1.43
-6.919363,1.27
-7.089363,0.89
-6.209363,0.38
-5.719363,-1.42
-4.699363,-2.82
-3.379363,-1.96
-3.699363,-0.58
-4.539363,-0.91
-4.259363,-2.14
-3.859363,-2.16
-5.019362,-0.93
-6.369363,0.15
-6.039362,0.53
-4.999362,0.93
-4.529363,1.5
-4.909363,1.61
-5.599363,1.01
-5.429363,0.2
-5.079363,0.19
-5.019362,1.08
-5.429363,1.89
-6.409363,2.69
-7.489363,3.85
-7.579362,4.58
-8.149363,5.56
-9.889362,5.75
-10.36936,3.75
-9.809362,0.63
-9.479362,-1.1
-10.17936,-0.74
-11.09936,0.58
-11.13936,1.33
-11.74936,1.77
-12.18936,1.08
-10.02936,0.71
-8.689363,1.3
-10.03936,0.86
-11.10936,0.26
-11.32936,0.68
-11.36936,0.55
-11.21936,-0.32
-10.74936,-0.77
-10.14936,-1.23
-10.14936,-2.1
-8.579363,-2.59
-6.389363,-1.85
-6.209363,-2.09
-5.969363,1.96
-5.859363,1.61
-5.399363,1.06
-5.029363,0.039999999
-4.579363,-2.19
-3.229363,-3.43
-2.029363,-2.29
-2.289363,-1.08
-2.549363,-1.37
-2.379363,-1.57
-3.029363,-0.48
-4.639363,0.7
-5.869363,0.98
-5.669363,0.6
-5.079363,0.68
-4.829363,1.67
-4.539363,2.26
-4.659363,1.39
-4.969363,0.14
