SIMPLEX,TYPE,ROBUSTNESS
389,3,0
575,3,0
667,3,0
686,3,0
689,3,0
1087,3,0
1098,3,0
1124,3,0
1127,3,0
1149,3,0
1151,3,0
1169,3,0
1171,3,0
1182,3,0
1186,3,0
1188,3,0
1244,3,0
1245,3,0
1576,3,0
1583,3,0
1762,3,0
1872,3,0
1963,3,0
2059,3,0
2156,3,0
2157,3,0
2250,3,0
2349,3,0
2425,3,0
2481,3,0
2819,3,0
2873,3,0
2973,3,0
3099,3,0
4326,3,0
4561,3,0
4576,3,0
4774,3,0
4952,3,0
5046,3,0
