ID,TYPE,SIMPLEX,DEGREE,VALUE,PARENT,ROBUSTNESS
0,leaf,218,0,0,,0
1,leaf,220,0,0,,0
2,leaf,232,0,0,,0
3,leaf,234,0,0,,0
4,leaf,241,0,0,,0
5,leaf,243,0,0,,0
6,leaf,267,0,0,,0
7,leaf,4791,0,0,,0
8,leaf,5592,0,0,,0
9,leaf,6348,0,0,,0
10,leaf,6757,0,0,,0
11,leaf,8200,0,0,,0
12,leaf,8210,0,0,,0
13,leaf,8888,0,0,,0
