U,V
0.02,-0.76
-1.87,1.28
-2.61,3.11
-2.28,3.62
-1.85,3.54
-1.36,3.26
-0.26,3.71
0.41,4.39
0.46,3.52
0.67,1.44
0.91,0.94
-0.02,3.65
-2.29,5.16
-4.06,3.02
-3.06,1.22
-2.06,1.67
-2.42,2.7
-2.53,3.4
-3.33,4.06
-4.1,4.2
-5.44,4.05
-6.95,4.57
-7.67,3.1
-6.34,1.4
-6.33,0.7
-5.4,0.62
-5.76,0.54
-5.76,0.049999997
-4.64,-0.089999996
-5.03,-0.91
-4.71,-1.7
-2.84,-2.09
-1.57,-1.88
-2.39,-1.57
-2.64,-2.45
-1.18,-4.17
0.18,-5.74
0.48,-5.6
0.36,-4.55
1.49,-4.91
2.52,-6.24
2.65,-5.75
0.61,-7.18
2.34,-6.67
2.98,-1.81
1.6,1.43
0.38,0.92
-0.21,0.23
-1.48,1
-2.49,2.63
-2.8,3.32
-2.94,3.76
-3.1,4.34
-2.91,3.86
-2.38,3.49
-2.68,4.02
-3.87,3.82
-5.09,1.61
-5.11,0.16
-3.08,3.68
-2.15,6.49
-3.14,4.24
-2.59,1.77
-2.2,1.81
-3.31,2.92
-3.79,3.26
-4.15,3.03
-4.42,3.38
-5.11,4.05
-5.64,3.69
-6.54,0.96
-5.05,1.16
-4.95,1.82
-4.96,2.17
-5.85,2.02
-5.93,1.2
-5.23,0.2
-4.84,-1.13
-4.15,-1.37
-2.47,-1.71
-1.66,-2.66
-3.1,-3.47
-2.53,-4.96
1.37,-6.15
4.23,-5.43
3.49,-4.32
1.98,-5.49
3.9,-7.43
6.71,-6.64
4.33,-4.17
2.01,-8.58
2.49,-5.1
1.28,1.03
-0.02,2.71
-0.58,1.27
-1.08,1.12
-1.96,2.1
-2.48,2.89
-2.83,3.12
-3.54,3.88
-3.88,4.52
-3.51,3.86
-3.51,3.4
-5.06,4.76
-6.65,6.35
-7.81,4.67
-8.2,1.2
-5.4,1.91
-2.68,4.07
-2.59,3.55
-2.15,2.5
-1.96,2.59
-3.12,3.48
-3.98,3.39
-4.36,2.57
-4.56,2.95
-4.89,4.18
-4.74,2.03
-5.56,-0.56
-3.9,2.04
-3.76,3.36
-4.32,2.43
-3.88,1.43
-3.54,0.44
-4.2,-0.72
-4.05,-1.69
-2.63,-1.58
-1.73,-2.52
-1.67,-3.58
-0.18,-4.14
2.26,-6.34
5.1,-7.04
5.5,-6.29
3.9,-7.07
4.21,-9.42
7,-8.74
3.59,-4.12
1.01,-3.62
3.53,-7.15
1.15,-1.19
-1.58,3.64
-2.7,2.98
-3.25,1.25
-3.35,1.52
-3.3,2.38
-3.2,2.67
-3.32,2.61
-3.79,2.76
-3.88,2.81
-3.55,2.58
-4,2.78
-5.3,4.96
-5.06,7.7
-4.79,6.69
-5.87,2.83
-5.02,0.98
-3.4,1.1
-3.63,1.28
-3.73,1.34
-3.26,1.78
-3.33,2.63
-3.37,2.96
-3.32,2.63
-3.77,3.05
-3.82,3.86
-4.6,1.15
-6.81,-0.13
-3.6,2.61
-2.44,2.84
-3.92,1.68
-3.5,0.82
-1.5,0.67
-2.61,-0.97
-3.14,-1.27
-2.09,-0.97
-1.14,-3.39
0.4,-5.05
4.02,-5.32
6.13,-6.92
5.83,-8.28
4.18,-8.639999
5.03,-11.09
6.07,-11.55
2.12,-5.25
-0.46,-2.9
1.82,-1.17
1.54,-2.28
-1.94,2.18
-3.49,3.6
-4.17,2.21
-4.79,1.38
-3.99,1.64
-2.73,2.04
-2.18,2.1
-2.16,1.88
-1.99,1.83
-1.7,2.33
-2.13,2.6
-3.49,2.17
-3.71,3.79
-1.76,6.71
-1.26,6.14
-3.03,3.36
-3.5,1.22
-2.81,0.11
-3.51,0.049999997
-4.53,0.21
-4.44,0.46
-3.76,0.97
-2.87,2
-2.32,2.7
-2.44,2.87
-1.61,2.91
-2.02,0.94
-5.19,0.2
-2.25,2.19
-0.73,1.59
-2.13,0.41
-2.45,1.28
-0.44,1.93
-0.3,-0.64
-0.33,-1.61
0.7,-2.61
2.3,-5.14
4.9,-6.7
7.18,-7.36
6.13,-9.28
5.11,-10.57
7.05,-11.54
7.08,-9.95
4.73,-2.5
0.81,-2.34
2.56,-0.68
0.9899999,0.82
-0.88,2.04
-2.47,3
-2.71,2.19
-3.25,1.24
-3.41,0.98
-2.53,1.1
-1.76,1.24
-1.84,1.37
-1.93,1.53
-1.3,1.91
-0.53,2.51
-0.63,1.75
-1.36,0.23
-0.88,2.45
0.52,6.44
0.63,6.13
-0.61,3.8
-1.34,1.75
-1.27,0.33
-2,0.13
-3,0.14
-3.04,0.029999999
-2.31,0.11
-1.76,1.21
-1.46,2.26
-0.91,2.11
0.41,1.35
1.47,0.099999994
-0.36,-0.61
-0.77,1.08
0.11,0.55
-0.55,-0.97
-0.72,0.35
0.79,0.039999999
2.38,-1.85
4.21,-2.29
6.06,-3.12
7.62,-5.44
9.5,-6.96
9.25,-9.01
7.49,-11.51
7.36,-11.97
7.19,-11.29
2.51,-4.21
1.87,-4.22
3.42,-1.97
3.46,0.57
-1.49,0.36
0.23,2
0.32,1.87
0.049999997,1.99
-0.16,1.79
0.26,1.52
0.42,1.79
-0.15,2.03
-0.62,1.66
-0.2,1.35
0.59,1.31
1.11,1
1.28,-0.4
1.07,-1.02
0.45,1.96
-0.25,5.33
0.089999996,5.27
0.25,4.2
-0.65,2.98
-1.52,1.41
-1.74,0.25
-1.07,-0.099999994
0.059999999,0.15
0.86,0.3
0.59,0.64
0.41,1.21
1.06,1.37
1.65,0.53
2.62,-0.5
2.47,-0.29
2.3,1.47
2.66,1.41
1.23,0.02
1.13,-0.47
4.36,-1.97
6.86,-3.53
8.52,-3.59
9.26,-3.98
9.76,-5.86
9.58,-7.09
7.44,-8.15
4.98,-8.44
3.12,-7.46
0.39,-5.12
-0.49,-2.77
2.58,-2.62
4.23,0.67
0.2,0.78
-1.71,0.21
3.18,-0.16
4.09,0.75
4.29,2.4
4.65,2.75
5.43,2.4
5.8,2.97
5.15,3.81
4.25,3.12
4.06,1.9
4.03,1.56
3.69,1.53
2.8,0.97
1.14,1
-1.17,2.15
-2.85,2.9
-1.8,3.27
-0.29,4.12
-0.44,4.22
-1.49,2.66
-1.38,0
0.9,-1.05
3.3,-0.21
4.08,0.31
3.47,0.18
3.06,0.41
3.02,0.84
3.09,0.63
4.26,-0.15
4.55,-0.27
5.64,0.94
6.33,2.28
5.2,1.73
4.86,-0.39
6.16,-3.19
7.85,-5.83
7.82,-6.4
6.14,-6.97
5.23,-7.49
4.46,-7.14
2.59,-5.86
0.63,-3.98
-1.52,-2.73
-1.99,-3.49
-1.89,-1.08
3.98,-1.39
4.08,0.59
-1.18,0.39
-0.67,-0.3
6.29,-1.69
6.13,-0.029999999
5.38,1.7
4.46,2.02
3.93,1.52
4.17,1.82
4.54,2.7
4.33,2.07
3.89,0.83
3.16,1.37
2.28,2.6
1.01,2.88
-0.94,2.59
-2.81,2.02
-3.52,1.25
-2.17,1.67
-0.2,3.26
1.2,4.33
1.43,2.9
1.82,-0.87
3.69,-2.34
5.17,-0.92
5.26,0.37
4.84,0.73
4.49,0.6
3.98,0.35
3.87,0
5.24,-0.29
5.4,-0.32
4.98,-0.24
5.75,-0.95
6.48,-1.75
7.17,-1.19
6.02,-2.86
4.69,-4.55
3.3,-5.09
2.47,-5.34
2.41,-4.9
3.02,-4.54
2.32,-2.51
1.63,-0.86
-1.86,-2.29
-1.96,-3.35
-1.58,-1.53
4.27,-1.86
3.47,-1.27
-0.18,-1.63
1.94,-0.8
6.49,-0.63
4.84,1.16
3.7,1.82
2.57,1.34
1.48,0.52
1.2,0.45
1.67,0.75
2.71,-0.049999997
3.48,-0.78
2.92,0.86
2.07,3.1
1.42,4.03
0.27,3.84
-0.67,2.7
-0.68,1.02
-0.12,0.36
0.68,1.13
2.1,2.37
3.78,1.04
5.48,-2.45
6.11,-2.64
5.13,-0.76
4.57,0.43
4.67,1.22
4.87,0.79
4.75,-0.25
4.31,-1.35
5.22,-2.03
6.6,-2.26
7.76,-1.97
8.96,-1.96
8.53,-2.77
7.49,-2.8
6.17,-2.21
4.31,-1.14
2.68,-0.96
3.18,-2.15
3.05,-3.24
2.06,-2.54
-0.51,-0.66
-0.33,0.24
-2.85,-1.89
-4.51,-2.95
-1.32,-1.43
3.57,-1.72
3.31,-2
-2.21,-2.52
1.41,0.17
5.1,2.07
4.68,2.61
4.77,1.99
4.47,1.34
3.87,1.01
3.04,1.33
2.26,1.56
2.06,1.17
1.89,1.24
1.31,2.8
1.59,4.65
2.46,5.3
2.3,4.67
1.9,3.45
2.23,1.85
2.44,-0.07
2,-1.39
2.09,-0.83
4.26,-1.53
7.22,-3.74
7.05,-2.26
5.34,0.029999999
5.47,0.16
5.52,0.34
5.64,-0.21
6.73,-1.6
7.26,-3.17
8.34,-3.65
9.969999,-3.15
10.5,-2.98
9.309999,-2.32
7.64,-1.28
5.75,-0.75
4.83,-0.29
3.54,-0.51
1.82,-1.98
1.02,-2.08
-0.6,-0.73
-3.02,0.74
-5.78,1.02
-5.45,0.88
-4.77,-0.43
-5.96,-2.86
-3.07,-1.9
1.09,-1.66
4.35,-3.13
-2.28,-3.82
-1.83,-2.62
6.65,1.88
6.82,0.98
6.01,0.4
4.77,0.83
3.67,1.32
2.67,1.35
1.91,1.13
0.94,1.4
-0.25,2.33
-0.63,3.3
0.67,4.09
2.25,4.07
2.27,3.29
1.91,3.04
2.57,2.83
3.42,0.68
3.17,-2.59
2.38,-3.08
4.14,-2.7
7.26,-4.15
6.69,-3.06
5.31,-0.45
6.47,-0.52
6.87,-1.25
6.63,-1.81
8.139999,-3.36
9.88,-4.94
10.42,-3.92
10.07,-1.25
8.79,0.27
7.16,0.059999999
6.3,-1.13
4.72,-1.48
2.41,-1.23
2.55,-1.63
1.4,-0.76
0.11,0.8
-1.97,3.08
-3.59,4.08
-5.38,3.65
-5.99,2.8
-5.1,0.59
-5.64,-2.82
-3.36,-3.53
-2.94,-0.33
3.44,-2.5
2.53,-5.52
-2.2,-5.39
6.96,0.55
6.11,-0.13
4.48,0.12
3.35,1.37
3.11,2.07
2.8,1.22
2.09,0.37
1.54,1
1.4,2.14
1.71,2.21
2.66,1.71
3.47,1.41
3.27,1.28
2.77,1.83
2.95,2.63
3.72,1.6
3.85,-1.7
2.74,-3.7
2.9,-3.48
5.37,-4.6
6.39,-5.01
5.62,-2.03
5.72,-0.77
6.74,-2.41
7.62,-3
7.98,-3.63
8.09,-4.13
7.27,-1.58
5.7,1.45
5.09,1.87
5.99,0.57
7.39,-0.77
6.99,-1.23
5.01,-2.05
5.55,-2.11
4.97,1.68
3.77,3.91
2.54,5.84
1.35,6.71
0.13,6.74
-1.37,5.97
-1.49,2.67
-2.8,-1.96
-2.86,-3.49
-3.49,-2.63
-0.31,-0.27
5.04,-4.34
-0.14,-4.8
5.92,2.1
5.13,1.86
4.08,2.16
3.05,3.13
2.99,3.67
3.17,2.81
2.76,2.27
2.69,3.19
3.14,3.99
3.79,2.98
4.38,1.24
4.26,0.14
3.87,-0.18
3.43,0.27
3.26,1.09
3.7,1.33
4.04,-0.36
3.23,-3.21
1.82,-4.49
2.31,-6.07
4.99,-8.349999
7.2,-5.56
7.58,-1.38
7.78,-2.56
8.809999,-4.11
8.74,-2.84
7.52,-1.19
7.2,0.63
7.56,1.59
7.88,0.37
8.97,-0.8
10.26,-0.28
10.8,-0.28
10.42,-0.27
10.05,1.48
9.469999,4.38
9.04,6.77
7.81,8.4
6.22,9.38
4.96,9.07
2.75,7.63
1.91,4.08
0.52,0.19
-2.15,-1.76
-3.68,-2.49
-2.46,-0.099999994
3.09,-1.61
2.89,-3.51
5.95,3.1
4.99,2.61
4,2.16
2.81,1.84
2.04,1.84
2.55,2
4.16,2.63
5.27,3.7
4.77,4.25
4.46,3.78
5.07,3.15
4.96,2.52
4.38,1.9
3.81,1.32
3.53,0.66
3.42,0.37
2.93,-0.18
2.62,-2.37
1.87,-4.49
0.5,-6.11
1.15,-10.15
4.42,-12.08
7.43,-7.31
8.57,-3.26
8.52,-4.63
9.02,-4.45
10.1,-0.52
10.69,1.18
10.68,0.27
10.32,0.029999999
10.36,0.039999999
10.74,-0.53
11.6,-1.58
11.66,-0.55
11.77,3.19
12.21,5.61
12.66,6.33
12.25,6.81
11.32,8.04
10.02,8.38
