U,V
-6.431218,1.988027
-6.571218,0.9180273
-5.201218,0.8480273
-4.941218,0.8880273
-3.661218,2.268027
-4.231218,1.898027
-5.581218,-0.2319726
-5.571218,-1.931973
-6.511218,-3.221972
-6.951218,-4.121973
-6.361218,-4.271973
-4.501218,-2.731973
-3.151218,-3.581973
-2.441218,-4.561973
-1.351218,-0.8919727
-0.4712183,-2.001973
0.9687817,-2.731973
3.658782,-1.611973
3.938782,-1.001973
0.6687817,-1.071973
-0.3912182,-1.331973
2.108782,-0.081972651
1.178782,2.118027
1.168782,3.928027
2.298782,4.418027
2.438782,3.908027
2.588782,4.628027
0.8887817,4.668027
-0.6512182,2.848027
-0.6812183,1.898027
0.1387817,1.588027
-0.031218261,2.298027
-1.981218,2.548027
-3.811218,1.318027
-3.561218,1.898027
-3.281218,2.438027
-2.861218,4.468027
-3.221218,4.958027
-4.251218,5.168027
-4.971218,5.778027
-5.521218,5.458027
-7.211218,4.758027
-7.491218,2.638027
-6.921218,1.968027
-6.391218,1.158027
-5.641218,-0.2219726
-5.031218,0.6680273
-5.981218,0.6180273
-5.971218,1.308027
-5.661218,0.6680273
-5.041218,-0.4619727
-4.711218,-1.861973
-2.451218,-1.261973
-3.351218,-1.031973
-5.241218,-3.161973
-3.701218,-2.501973
-3.841218,-3.281973
-3.281218,-5.101973
-3.121218,-3.871973
-1.611218,-2.991973
-0.001218262,-4.101973
0.6187817,-4.481973
1.108782,-2.971973
1.438782,-4.201972
4.048782,-2.971973
4.148782,-0.071972653
3.598782,-0.8019726
1.938782,-3.161973
-1.181218,-3.131973
-1.551218,0.9580273
-2.371218,2.768027
-2.341218,3.318027
-0.8612182,3.448027
-0.5612183,2.798027
0.8487817,3.178027
1.338782,4.528027
0.9487817,3.678027
1.608782,1.168027
1.988782,0.1480273
0.6987817,4.248027
-2.561218,5.768027
-4.701218,2.068027
-3.391218,0.8680273
-2.851218,0.4880273
-2.551218,2.648027
-1.741218,3.958027
-3.061218,4.968027
-3.761218,5.238027
-3.581218,4.848027
-5.821218,4.548027
-7.541218,2.518027
-5.661218,0.9780273
-5.881218,1.498027
-6.051218,1.118027
-6.421218,2.038027
-6.521218,1.138027
-5.181218,1.458027
-5.981218,0.1280273
-4.521218,-1.111973
-4.001218,-0.8919727
-2.261218,-1.891973
-4.061218,-1.891973
-4.911218,-2.701972
-2.241218,-3.071973
-0.4412183,-2.811973
0.2787817,-2.241973
0.078781739,-1.231973
1.328782,-3.741973
2.438782,-5.291973
2.988782,-3.861973
0.9787817,-6.181973
2.018782,-6.031972
3.628782,-1.551973
0.9587817,0.6180273
0.1187817,0.3780273
0.2187817,0.5280274
-2.381218,-0.031972654
-2.381218,2.048027
-0.2812183,1.888027
-1.741218,2.298027
-2.281218,3.658027
-2.081218,4.138027
-1.381218,3.308027
-1.891218,4.008027
-3.981218,3.918027
-4.671218,1.158027
-5.291218,-0.061972655
-2.741218,4.308027
-0.7112182,6.678027
-1.841218,3.478027
-2.791218,1.218027
-3.331218,1.458027
-4.111218,3.238027
-4.021218,3.078027
-3.821218,2.888027
-4.531218,4.308027
-3.581218,5.328027
-5.681218,2.378027
-9.291218,1.408027
-4.851218,3.148027
-4.371218,2.888027
-5.011218,2.588027
-4.741218,2.478027
-5.131218,0.9380273
-4.721218,0.5380273
-5.141218,-0.3319727
-4.321218,-1.491973
-3.831218,-1.551973
-1.621218,-2.471973
-3.991218,-3.061973
-3.611218,-4.771973
0.3287817,-4.891973
3.908782,-2.381973
3.578782,-1.701973
0.3187817,-3.731972
1.768782,-5.731973
5.638782,-5.381972
3.998782,-4.611972
1.178782,-8.071973
1.928782,-3.961972
1.038782,1.878027
-0.6912183,2.008027
-1.051218,0.7880273
-1.271218,1.648027
-2.111218,1.958027
-2.201218,2.658027
-2.001218,2.178027
-3.131218,3.098027
-3.071218,4.688027
-2.971218,4.008027
-2.691218,2.738027
-4.771218,4.588027
-7.111218,6.068027
-8.001218,4.228027
-8.551218,1.108027
-5.031218,1.168027
-1.981218,3.328027
-1.821218,3.748027
-2.101218,2.368027
-1.741218,2.388027
-2.061218,3.818027
-3.371218,3.608027
-3.751218,2.688027
-4.361218,3.608027
-3.881218,6.028027
-4.961218,1.928027
-7.831218,-0.1419726
-4.101218,3.868027
-4.491218,3.778027
-5.111218,3.908027
-3.251218,3.148027
-3.631218,1.838027
-4.171218,-0.1019727
-4.921218,-1.141973
-3.531218,-1.281973
-3.171218,-1.681973
-3.071218,-2.331973
-1.441218,-3.851973
1.078782,-5.741972
4.088782,-5.781972
5.158782,-5.061973
2.848782,-7.191973
3.278782,-9.201972
6.048781,-7.711973
3.838782,-3.831973
1.888782,-2.011973
2.078782,-6.961973
-0.031218261,0.6280273
-2.381218,4.268027
-3.711218,2.788027
-4.881218,1.548027
-4.011218,2.558027
-3.071218,3.158027
-2.791218,2.298027
-2.951218,1.758027
-2.901218,2.518027
-3.251218,3.248027
-2.901218,2.318027
-2.721218,2.898027
-6.091218,5.448027
-6.361218,7.458027
-5.771218,6.608027
-6.311218,2.928027
