U,V
-4.974668,-0.7799975
-5.744668,-0.3099976
-5.984668,0.3200024
-5.404668,0.4000024
-4.894668,-0.7199975
-4.494668,-1.249997
-3.814668,-0.5699975
-3.064668,-0.4099976
-2.894668,-0.8699976
-3.564668,-1.559998
-4.234668,-1.849998
-4.794668,-1.479998
-5.554668,-0.7299975
-6.254668,-0.029997557
-6.814668,0.2900024
-7.184668,0.2400024
-7.184668,0.3800024
-6.474668,0.4200024
-6.094668,-0.029997557
-5.794668,-0.4599975
-5.084668,-0.5699975
-4.674668,-0.1899976
-4.644668,0.6300024
-5.784668,1.550002
-7.084668,2.560002
-8.374668,2.790002
-10.24467,2.390002
-11.73467,1.650002
-12.64467,0.8800024
-12.74467,0.5600024
-13.00467,0.4000024
-13.68467,0.4700024
-13.04467,0.7300024
-11.32467,0.1700024
-11.30467,0.1200024
-12.58467,1.100002
-13.50467,2.120003
-11.96467,1.580002
-9.364668,-0.3499976
-8.474668,-0.3699976
-8.894668,0.9700024
-10.09467,1.410002
-10.90467,0.9800024
-9.544668,-0.3599975
-7.894668,-0.4999976
-8.664668,0.4100024
-8.754668,0.1800024
-7.864668,-1.339998
-5.894668,0.2900024
-6.624668,0.4400024
-6.554668,0.6400024
-5.514668,0.5000024
-4.834668,-0.8199975
-4.384668,-1.659997
-3.574668,-1.029998
-3.194668,-0.3399976
-3.604668,-0.6799976
-4.094668,-1.639997
-4.204668,-1.869998
-4.704668,-1.169998
-5.574668,-0.2999975
-6.014668,0.1600024
-5.954668,0.2900024
-6.194668,0.3800024
-6.624668,0.5700024
-6.284668,0.4700024
-5.514668,-0.039997559
-4.814668,-0.3199975
-4.354668,0.09000244
-4.484668,1.000002
-5.264668,1.830002
-6.644668,2.760002
-7.764668,3.560002
-8.844667,3.910002
-10.56467,3.400002
-11.81467,1.920002
-12.46467,0.5200024
-12.49467,-0.049997557
-12.73467,-0.1299976
-12.97467,0.3800024
-12.32467,0.8500024
-11.67467,1.090002
-11.84467,1.810002
-12.06467,2.490002
-11.66467,2.290002
-10.57467,1.160002
-9.634667,0.060002439
-9.674667,0.4900024
-9.944668,1.310002
-10.61467,1.140002
-10.75467,0.1800024
-10.70467,-1.059998
-10.65467,-1.639997
-9.734668,-1.439998
-8.034668,-0.8499975
-6.934668,-1.899997
-5.714668,1.160002
-6.494668,0.8700024
-6.374668,0.4600024
-5.374668,-0.069997557
-4.624668,-1.589998
-3.554668,-2.469997
-2.514668,-1.449998
-2.874668,-0.2499976
-3.624668,-0.6099976
-3.454668,-1.759997
-3.344668,-1.799998
-4.464668,-0.7299975
-5.634668,0.1100024
-5.604668,0.3600024
-4.744668,0.5800024
-4.544668,1.020002
-5.214668,1.190002
-5.674668,0.6800025
-5.494668,0.040002439
-5.274668,0.1100024
-5.214668,0.9500024
-5.554668,2.030002
-6.374668,2.980002
-7.454668,3.790002
-7.914668,4.380002
-8.734668,5.000002
-10.39467,4.790002
-10.81467,3.060002
-10.24467,0.8400024
-9.704668,-0.4299976
-10.17467,-0.039997559
-10.99467,1.190002
-10.95467,2.090002
-10.81467,2.910002
-10.45467,2.790002
-8.934668,2.510002
-8.594667,2.080002
-10.02467,1.040002
-10.73467,0.6000024
-10.78467,0.8600024
-10.59467,0.6400024
-10.44467,-0.019997558
-10.00467,-0.7799975
-9.544668,-1.349998
-9.324668,-1.989998
-7.844668,-2.629997
-6.404668,-2.379997
-6.214668,-3.039998
-5.614668,1.700002
-5.374668,1.220002
-4.754668,0.6000024
-4.024668,-0.3099976
-3.164668,-2.069998
-1.894668,-2.689997
-1.064668,-1.489998
-1.434668,-0.5999975
-1.794668,-1.019997
-1.754668,-1.259997
-2.394668,-0.4299976
-3.674668,0.4900024
-4.594668,0.7700024
-4.904668,0.7700024
-4.664668,1.120002
-4.314668,1.880002
-4.504668,1.910002
-4.854668,0.9000024
-4.824668,2.44141E-06
-4.964668,0.080002442
-5.274668,0.7600024
-5.554668,2.150002
-6.134668,4.210002
-7.364668,5.310002
-7.604668,5.030002
-8.104668,4.150002
-9.424667,3.260002
-9.184668,2.780002
-8.414668,1.720002
-8.204668,0.5800024
-8.654668,1.390002
-9.644668,2.600002
-9.594667,3.280002
-8.514668,4.280002
-7.434668,2.800002
-5.944668,1.220002
-6.414668,1.120002
-9.164668,1.110002
-10.39467,1.170002
-10.19467,0.9900024
-10.11467,0.2300024
-9.914668,-0.5499976
-9.294668,-1.429998
-7.554668,-1.879997
-6.504668,-2.329998
-6.304668,-3.099998
-5.944668,-3.499997
-5.284668,-3.859998
-5.104668,1.810002
-3.784668,0.7200024
-2.714668,-0.3999976
-1.334668,-1.229998
0.355332,-1.869998
1.255332,-1.439998
