U,V
-5.339997,-1.54
-5.899997,-0.63
-6.009997,0.48
-5.739997,1.05
-5.489997,-0.19
-5.159997,-0.97
-4.119998,-0.41
-3.489997,-0.32
-3.429997,-0.48
-4.459998,-1.22
-4.649997,-1.5
-4.869998,-0.55
-5.529997,0.38
-6.179997,1.36
-6.749998,1.79
-7.079998,1.38
-7.089997,0.91
-5.639997,0.38
-4.359997,-0.94
-4.249998,-1.93
-3.919997,-2.36
-2.999997,-1.67
-2.989997,-0.049999997
-3.569998,1.11
-4.689998,2.47
-6.529997,2.34
-8.099998,1.38
-9.569998,0.67
-10.38,0.28
-11.22,-0.059999999
-12.38,-0.13
-13.69,-0.01
-13.65,0.5
-12.04,0.089999996
-11.08,-0.64
-11.82,0.53
-13.28,2.11
-11.76,2.16
-9.019998,-0.17
-8.359998,-0.66
-9.519998,1.36
-11.85,2.55
-12.54,2.35
-11.58,0.74
-10.24,-0.82
-10.89,-0.39
-9.879997,0.28
-9.109998,-0.45
-5.889997,-0.66
-6.779997,-0.099999994
-7.229998,0.24
-6.129997,0.79
-5.649997,-0.55
-5.329998,-1.87
-4.769998,-1.56
-4.199997,-0.53
-4.789998,-0.77
-5.029997,-1.63
-4.609997,-1.42
-4.879997,-0.24
-5.639997,0.87
-5.999998,1.36
-6.139997,1.42
-6.109997,1.4
-6.449997,1.34
-5.829998,0.85
-3.769997,-0.54
-2.179997,-1.28
-1.629997,-0.69
-2.819998,0.58
-4.219997,1.43
-5.429997,2.93
-6.799997,3.86
-7.709997,4.13
-8.989997,3.66
-10.27,1.95
-11.33,0.37
-12.23,-0.74
-12.55,-0.56
-13.16,0.039999999
-13.1,0.34
-12.88,-0.46
-12.87,0.57
-12.28,2.35
-11.7,2.06
-10.4,0.62
-9.749997,-0.7
-9.649998,0.59
-9.989997,1.83
-11.73,1.86
-11.98,1.04
-11.73,-0.29
-11.66,-1.1
-11.22,-0.54
-9.149998,-0.8
-7.359997,-0.88
-5.579998,0.68
-6.779997,0.2
-7.569997,0.07
-6.359997,-0.049999997
-6.229998,-1.99
-5.089997,-3.39
-4.499998,-2.63
-4.719997,-0.32
-6.019998,0.089999996
-5.029997,-1.26
-4.179997,-1.3
-4.919997,0.4
-6.259997,1.37
-6.139997,1.69
-5.049997,1.48
-4.409997,1.64
-4.659997,1.76
-5.109997,1.1
-4.309998,0.18
-3.019998,0.37
-2.869998,1.71
-4.339997,2.71
-5.959998,2.78
-6.979998,4.19
-7.349998,4.98
-7.199997,6.03
-8.869997,5.9
-9.669997,3.45
-10.05,0.66
-9.429997,-1.66
-10.02,-0.94
-11.97,0.53
-12.02,0.73
-12.44,1.66
-11.95,1.69
-8.839997,0.74
