SIMPLEX,TYPE,ROBUSTNESS
391,3,0
577,3,0
665,3,0
686,3,0
689,3,0
846,3,0
847,3,0
1087,3,0
1098,3,0
1124,3,0
1142,3,0
1144,3,0
1147,3,0
1151,3,0
1182,3,0
1186,3,0
1188,3,0
1220,3,0
1244,3,0
1245,3,0
1352,3,0
1353,3,0
1487,3,0
1576,3,0
1578,3,0
1579,3,0
1760,3,0
1907,3,0
1960,3,0
1968,3,0
2000,3,0
2059,3,0
2158,3,0
2349,3,0
2404,3,0
2406,3,0
2425,3,0
2481,3,0
2770,3,0
2772,3,0
2819,3,0
2872,3,0
2970,3,0
3096,3,0
3274,3,0
3275,3,0
4328,3,0
4559,3,0
4576,3,0
4872,3,0
