Y,X,VY,VX
-60,45,2.64001,-7.456213
-16.5,39,-6.849985,-1.436213
-15,39,-7.919985,-4.666214
-13.5,39,-7.249985,-5.076213
-12,39,-4.349985,-4.586213
-10.5,39,-1.569985,-4.746213
-9,39,-1.049985,-5.506213
-7.5,39,-1.099985,-6.656213
-6,39,-1.269985,-6.646213
-4.5,39,-1.369985,-3.946213
-3,39,-2.099985,-2.406213
-1.5,39,-2.429985,-1.476213
0,39,-0.089985348,-0.9462134
-60,37.5,9.340014,-10.17621
-58.5,37.5,11.25001,-11.75621
-57,37.5,13.94001,-13.05621
-55.5,37.5,16.54001,-14.90621
-54,37.5,19.23001,-14.01621
-52.5,37.5,20.92001,-7.276213
-51,37.5,21.33001,-0.5562134
-49.5,37.5,22.73001,5.853786
-48,37.5,23.15001,15.61379
-46.5,37.5,20.41002,20.25379
-45,37.5,17.09001,18.42379
-43.5,37.5,13.70001,16.01379
-42,37.5,9.390015,12.79379
-40.5,37.5,5.470015,12.40379
-39,37.5,4.570014,14.09379
-37.5,37.5,4.100015,12.03379
-36,37.5,1.620015,10.76379
-34.5,37.5,-0.1899853,10.41379
-33,37.5,-1.789985,7.973786
-31.5,37.5,-4.119985,6.863787
-30,37.5,-6.559985,5.453786
-28.5,37.5,-8.479985,2.703787
-27,37.5,-8.619986,1.953787
-25.5,37.5,-7.739985,2.173787
-24,37.5,-7.439985,3.223787
-22.5,37.5,-7.669985,4.913786
-21,37.5,-8.289985,3.633786
-19.5,37.5,-8.659986,1.283787
-18,37.5,-8.849985,-0.1462134
-16.5,37.5,-9.239985,-2.506213
-15,37.5,-8.409986,-3.866213
-13.5,37.5,-6.279985,-3.276213
-12,37.5,-5.269985,-3.186213
-10.5,37.5,-5.239985,-4.636213
-9,37.5,-5.079985,-5.926213
-7.5,37.5,-4.529985,-5.286213
-6,37.5,-3.799985,-4.046213
-4.5,37.5,-2.639985,-3.306213
-3,37.5,-1.069985,-2.826213
-1.5,37.5,-1.139985,-1.646213
0,37.5,-1.029985,0.00379
-60,36,7.530015,-11.84621
-58.5,36,8.350015,-13.58621
-57,36,9.320014,-15.24621
-55.5,36,12.55001,-15.82621
-54,36,16.80001,-12.52621
-52.5,36,18.27001,-5.806213
-51,36,18.47001,1.283787
-49.5,36,19.24002,9.633786
-48,36,18.27001,15.32379
-46.5,36,14.26001,14.67379
-45,36,10.69001,13.91379
-43.5,36,8.670014,11.25379
-42,36,6.380014,8.503786
-40.5,36,4.290015,11.09379
-39,36,3.070014,11.25379
-37.5,36,0.9600146,8.783787
-36,36,-2.559985,9.053786
-34.5,36,-5.289985,7.093786
-33,36,-6.959985,3.973787
-31.5,36,-9.229985,2.973787
-30,36,-11.00998,2.373786
-28.5,36,-10.21999,3.103786
-27,36,-8.859985,4.293787
-25.5,36,-8.099985,4.043787
-24,36,-7.429985,4.133787
-22.5,36,-7.809985,4.193787
-21,36,-8.919985,2.363786
-19.5,36,-9.409986,0.1837866
-18,36,-8.919985,-1.206213
-16.5,36,-8.399985,-2.096213
-15,36,-8.709985,-2.556213
-13.5,36,-9.029985,-3.336213
-12,36,-9.009985,-4.296213
-10.5,36,-8.819985,-5.466213
-9,36,-8.629985,-5.716213
-7.5,36,-8.189985,-3.916213
-6,36,-7.739985,-2.356213
-4.5,36,-7.129985,-1.826213
-3,36,-4.999985,-1.106213
-1.5,36,-3.049985,-0.4062134
0,36,-2.499985,-0.1562134
-60,34.5,1.120015,-14.05621
-58.5,34.5,2.840015,-14.85621
-57,34.5,6.300014,-13.98621
-55.5,34.5,11.90001,-11.61621
-54,34.5,15.07001,-7.476213
-52.5,34.5,16.07001,-0.7062134
-51,34.5,16.76001,6.573786
-49.5,34.5,15.69001,10.93379
-48,34.5,13.61001,11.10379
-46.5,34.5,10.12001,10.80379
-45,34.5,8.130014,10.98379
-43.5,34.5,6.590014,7.463787
-42,34.5,2.800014,6.743786
-40.5,34.5,0.5400146,9.023787
-39,34.5,-1.239985,8.273787
-37.5,34.5,-4.109985,7.973786
-36,34.5,-6.319985,7.063787
-34.5,34.5,-8.029985,4.433786
-33,34.5,-9.299985,3.083786
-31.5,34.5,-10.62998,1.333787
-30,34.5,-11.77999,1.223787
-28.5,34.5,-10.98999,3.603786
-27,34.5,-10.06999,3.443787
-25.5,34.5,-11.60999,1.643787
-24,34.5,-13.38999,1.273787
-22.5,34.5,-13.10999,0.6437866
-21,34.5,-12.26999,-0.4262134
-19.5,34.5,-11.97999,-1.256213
-18,34.5,-11.76999,-2.346213
-16.5,34.5,-11.78998,-2.876213
-15,34.5,-12.71999,-2.936213
-13.5,34.5,-13.50998,-3.026213
-12,34.5,-12.92999,-3.326213
-10.5,34.5,-12.13999,-4.426213
-9,34.5,-10.86999,-5.046213
-7.5,34.5,-7.709985,-3.496213
-6,34.5,-5.519985,-0.5062134
