U,V
3.900043,-1.05
3.900043,-0.95
4.000043,-0.85
4.000043,-0.75
4.000043,-0.65
4.000043,-0.55
4.000043,-0.45
4.000043,-0.35
4.100043,-0.25
4.100043,-0.15
4.100043,-5.00E-02
4.100043,5.00E-02
4.100043,0.15
4.000043,0.25
4.000043,0.45
4.000043,0.55
4.000043,0.65
4.000043,0.75
4.000043,0.85
4.000043,0.95
3.900043,1.05
3.900043,1.15
3.900043,1.25
3.800043,1.35
3.800043,1.45
3.800043,1.55
3.700043,1.65
3.700043,1.75
3.600043,1.85
3.600043,1.95
3.500043,2.05
3.500043,2.15
3.400043,2.15
3.400043,2.25
3.300043,2.35
3.200043,2.45
3.200043,2.55
3.100043,2.65
3.000043,2.65
3.000043,2.75
2.900043,2.85
2.800043,2.95
2.700043,3.05
2.700043,3.05
2.600043,3.15
2.500043,3.25
2.400043,3.25
2.300043,3.35
2.200043,3.35
2.100043,3.45
2.100043,3.55
2.000043,3.55
1.900043,3.65
1.800043,3.65
1.700043,3.65
1.600043,3.75
1.500043,3.75
1.400043,3.85
1.300043,3.85
1.200043,3.85
1.100043,3.95
1.000043,3.95
0.9000427,3.95
0.8000427,3.95
0.7000427,4.05
0.6000428,4.05
0.4000427,4.05
0.3000427,4.05
3.600043,0.15
3.500043,0.35
3.500043,0.45
3.400043,0.55
3.400043,0.65
3.300043,0.85
3.300043,0.95
3.200043,1.15
3.100043,1.25
3.100043,1.35
3.000043,1.45
2.900043,1.55
2.800043,1.65
2.800043,1.75
2.700043,1.85
2.600043,1.95
2.600043,2.05
2.400043,2.15
2.400043,2.25
2.300043,2.35
2.200043,2.35
2.100043,2.45
2.000043,2.55
1.900043,2.65
1.900043,2.65
1.700043,2.75
1.700043,2.75
1.500043,2.85
1.500043,2.85
1.400043,2.95
1.300043,2.95
1.200043,2.95
1.100043,3.05
1.000043,3.05
1.000043,3.05
0.9000427,3.15
0.8000427,3.05
0.7000427,3.15
0.6000428,3.15
0.5000427,3.15
0.5000427,3.15
0.4000427,3.15
0.3000427,3.15
0.2000427,3.15
0.2000427,3.05
0.1000427,3.05
0.1000427,3.05
4.27E-05,3.05
-1.00E-01,2.95
-1.00E-01,3.05
-1.00E-01,2.95
-0.1999573,2.95
-0.1999573,2.95
-0.2999573,2.95
-0.2999573,2.85
-0.3999573,2.85
-0.3999573,2.75
-0.3999573,2.75
-0.4999573,2.65
-0.3999573,2.65
-0.4999573,2.65
-0.4999573,2.55
-0.4999573,2.45
-0.5999573,2.55
-0.4999573,2.45
-0.4999573,2.45
-0.4999573,2.35
-0.4999573,2.35
0.1000427,1.45
-1.00E-01,1.65
-0.1999573,1.65
-0.2999573,1.85
-0.3999573,1.85
-0.5999573,1.95
-0.6999573,1.95
-0.7999573,2.15
-0.8999573,2.15
-1.099957,2.25
-1.099957,2.25
-1.299957,2.35
-1.299957,2.35
-1.499957,2.45
-1.499957,2.45
-1.699957,2.45
-1.699957,2.55
-1.799957,2.55
-1.899957,2.55
-1.999957,2.55
-2.099957,2.45
-2.199957,2.55
-2.199957,2.65
-2.299957,2.65
-2.399957,2.55
-2.499957,2.65
-2.599957,2.55
-2.599957,2.55
-2.699957,2.45
-2.699957,2.55
-2.799957,2.45
-2.899957,2.55
-2.899957,2.45
-2.999957,2.45
-2.999957,2.35
-2.999957,2.35
-3.099957,2.25
-3.099957,2.35
-3.099957,2.15
-3.099957,2.25
-3.199957,2.05
-3.199957,2.15
-3.199957,1.95
-3.199957,2.05
-3.199957,1.85
-3.099957,1.85
-3.099957,1.75
-3.099957,1.75
-2.999957,1.55
-2.999957,1.55
-2.999957,1.45
-2.899957,1.45
-2.799957,1.25
-2.799957,1.25
-2.699957,1.15
-2.599957,1.05
-2.599957,0.95
-2.499957,0.95
-2.299957,0.75
-2.299957,0.75
-2.099957,0.55
-1.999957,0.55
-1.999957,0.45
-1.799957,0.45
-1.599957,0.25
-1.499957,0.25
-1.399957,0.15
-1.299957,0.15
-5.599957,2.25
-5.699957,2.25
-5.799957,2.25
-5.899957,2.25
-5.999958,2.25
-6.099957,2.25
-6.099957,2.25
-6.199957,2.35
-6.199957,2.25
-6.299957,2.35
-6.299957,2.35
-6.299957,2.35
-6.299957,2.25
-6.399957,2.25
-6.399957,2.25
-6.399957,2.25
-6.399957,2.25
-6.399957,2.25
-6.399957,2.15
-6.499958,2.15
-6.499958,2.15
-6.599957,2.15
-6.599957,2.05
-6.699957,1.95
-6.699957,1.95
-6.799957,1.85
-6.799957,1.75
-6.899957,1.65
-6.899957,1.55
-6.999958,1.45
-6.999958,1.35
-7.099957,1.25
-7.099957,1.05
-7.099957,1.05
-7.099957,0.85
-7.099957,0.75
-6.999958,0.65
-6.999958,0.55
-6.899957,0.35
-6.899957,0.25
-6.799957,0.15
-6.799957,5.00E-02
-6.599957,-5.00E-02
-6.599957,-0.15
-6.399957,-0.25
-6.299957,-0.35
-6.199957,-0.45
-5.999958,-0.55
-5.899957,-0.65
-5.699957,-0.75
-5.499958,-0.85
-5.399957,-0.95
-5.199957,-1.05
-4.999958,-1.15
-4.699957,-1.25
-4.499958,-1.35
-4.299957,-1.55
-4.099957,-1.55
-3.799957,-1.75
-3.599957,-1.75
-3.299957,-1.95
-3.099957,-1.95
-2.799957,-2.05
-2.599957,-2.15
-2.299957,-2.25
-2.099957,-2.25
-1.799957,-2.35
-1.499957,-2.35
-10.59996,1.45
-10.59996,1.45
-10.59996,1.35
-10.59996,1.45
-10.59996,1.35
-10.49996,1.45
-10.49996,1.45
-10.39996,1.65
-10.29996,1.65
-10.19996,1.75
-9.999957,1.75
-9.999957,1.95
-9.799957,1.95
-9.699958,2.15
-9.599957,2.15
-9.499957,2.25
-9.399958,2.25
-9.399958,2.35
-9.399958,2.25
-9.299957,2.35
-9.399958,2.25
-9.399958,2.25
-9.399958,2.05
-9.499957,1.95
-9.599957,1.75
-9.599957,1.65
-9.699958,1.35
-9.799957,1.25
-9.799957,0.85
-9.899958,0.75
-9.899958,0.45
-9.899958,0.25
-9.899958,-5.00E-02
-9.899958,-0.25
-9.899958,-0.55
-9.799957,-0.75
-9.699958,-0.95
-9.599957,-1.15
-9.499957,-1.45
-9.299957,-1.65
-9.199958,-1.85
-8.999957,-1.95
-8.899958,-2.15
-8.599957,-2.25
-8.399958,-2.45
-8.199958,-2.55
-7.999958,-2.75
-7.699957,-2.85
-7.399957,-3.05
-7.199957,-3.05
-6.899957,-3.25
-6.599957,-3.25
-6.299957,-3.45
-5.999958,-3.55
-5.699957,-3.75
-5.399957,-3.75
-5.099957,-3.95
-4.799957,-4.05
-4.399957,-4.25
-4.099957,-4.25
-3.699957,-4.45
-3.299957,-4.55
-2.999957,-4.65
-2.599957,-4.65
-2.299957,-4.75
-1.899957,-4.75
-1.499957,-4.85
-1.199957,-4.65
-12.59996,-0.55
-12.69996,-0.55
-12.59996,-0.55
-12.59996,-0.35
-12.59996,-0.25
-12.59996,-5.00E-02
-12.49996,0.25
-12.39996,0.55
-12.19996,0.75
-12.09996,1.05
-11.89996,1.25
-11.89996,1.55
-11.69996,1.75
-11.59996,2.05
-11.49996,2.15
-11.39996,2.35
-11.29996,2.45
-11.19996,2.55
