U,V
4.028531,-3.55
4.128531,-3.45
4.228531,-3.35
4.328531,-3.15
4.328531,-3.05
4.428531,-2.95
4.528531,-2.85
4.628531,-2.75
4.628531,-2.65
4.728531,-2.45
4.828531,-2.35
4.828531,-2.25
4.928531,-2.15
4.928531,-1.95
5.028531,-1.85
5.028531,-1.75
5.128531,-1.55
5.128531,-1.45
5.228531,-1.35
5.228531,-1.15
5.228531,-1.05
5.228531,-0.85
5.328531,-0.75
5.328531,-0.65
5.328531,-0.45
5.328531,-0.35
5.328531,-0.15
5.328531,-5.00E-02
5.328531,5.00E-02
5.328531,0.25
5.328531,0.35
5.328531,0.55
5.328531,0.65
5.328531,0.75
5.228531,0.95
5.228531,1.05
5.228531,1.15
5.228531,1.35
5.128531,1.45
5.128531,1.55
5.028531,1.75
5.028531,1.85
4.928531,1.95
4.928531,2.15
4.828531,2.25
4.828531,2.35
4.728531,2.55
4.628531,2.65
4.628531,2.75
4.528531,2.85
4.428531,2.95
4.328531,3.05
4.328531,3.25
4.228531,3.35
4.128531,3.45
4.028531,3.55
3.928531,3.65
3.828531,3.75
3.728531,3.85
3.628531,3.95
3.528531,4.05
3.428531,4.15
3.328531,4.25
3.228531,4.25
3.028531,4.35
2.928531,4.45
2.828531,4.55
2.728531,4.65
3.628531,-2.65
3.628531,-2.55
3.628531,-2.45
3.728531,-2.25
3.728531,-2.15
3.728531,-2.05
3.828531,-1.85
3.828531,-1.75
3.828531,-1.65
3.828531,-1.55
3.828531,-1.45
3.828531,-1.25
3.828531,-1.15
3.828531,-1.05
3.928531,-0.85
3.928531,-0.75
3.928531,-0.65
3.928531,-0.55
3.928531,-0.45
3.928531,-0.25
3.928531,-0.15
3.928531,-5.00E-02
3.928531,5.00E-02
3.928531,0.25
3.928531,0.35
3.928531,0.45
3.928531,0.55
3.828531,0.65
3.828531,0.75
3.828531,0.95
3.828531,1.05
3.728531,1.15
3.728531,1.25
3.728531,1.45
3.728531,1.45
3.728531,1.65
3.628531,1.75
3.628531,1.85
3.528531,1.95
3.528531,2.05
3.528531,2.15
3.428531,2.25
3.428531,2.35
3.328531,2.45
3.328531,2.55
3.228531,2.65
3.228531,2.75
3.128531,2.85
3.128531,2.85
3.028531,3.05
2.928531,3.05
2.928531,3.15
2.828531,3.15
2.828531,3.25
2.728531,3.35
2.728531,3.35
2.628531,3.35
2.528531,3.55
2.528531,3.55
2.428531,3.55
2.328531,3.55
2.328531,3.65
2.228531,3.75
2.228531,3.75
2.128531,3.75
2.128531,3.75
2.028531,3.85
2.028531,3.85
0.2285309,-0.95
0.1285309,-0.85
2.85E-02,-0.75
-7.15E-02,-0.75
-0.1714691,-0.65
-0.1714691,-0.65
-0.3714691,-0.55
-0.3714691,-0.55
-0.4714691,-0.55
-0.5714691,-0.45
-0.6714692,-0.45
-0.6714692,-0.45
-0.7714691,-0.45
-0.7714691,-0.45
-0.7714691,-0.45
-0.7714691,-0.45
-0.8714691,-0.35
-0.8714691,-0.35
-0.8714691,-0.35
-0.8714691,-0.35
-0.7714691,-0.35
-0.7714691,-0.25
-0.7714691,-0.25
-0.6714692,-0.15
-0.6714692,-0.15
-0.5714691,-5.00E-02
-0.5714691,-5.00E-02
-0.4714691,5.00E-02
-0.4714691,5.00E-02
-0.3714691,0.15
-0.3714691,0.25
-0.2714691,0.35
-0.1714691,0.45
-0.1714691,0.55
-7.15E-02,0.65
2.85E-02,0.75
2.85E-02,0.85
0.1285309,1.05
0.1285309,1.05
0.2285309,1.25
0.2285309,1.25
0.3285309,1.45
0.3285309,1.55
0.3285309,1.65
0.4285309,1.75
0.4285309,1.85
0.4285309,1.85
0.4285309,2.05
0.5285309,2.05
0.5285309,2.15
0.5285309,2.15
0.5285309,2.35
0.5285309,2.25
0.5285309,2.35
0.6285309,2.35
0.6285309,2.45
0.6285309,2.35
0.6285309,2.45
0.6285309,2.35
0.7285309,2.45
0.7285309,2.35
0.7285309,2.45
0.8285309,2.35
0.8285309,2.35
0.8285309,2.25
0.9285309,2.35
0.9285309,2.25
1.028531,2.35
-6.471469,0.95
-6.571469,0.85
-6.671469,0.75
-6.771469,0.65
-6.971469,0.55
-6.971469,0.35
-7.071469,0.25
-7.171469,5.00E-02
-7.271469,-0.15
-7.271469,-0.25
-7.271469,-0.45
-7.371469,-0.65
-7.371469,-0.85
-7.371469,-0.95
-7.371469,-1.15
-7.271469,-1.35
-7.271469,-1.55
-7.171469,-1.65
-7.071469,-1.75
-6.971469,-1.85
-6.871469,-2.05
-6.771469,-2.05
-6.671469,-2.15
-6.571469,-2.25
-6.371469,-2.25
-6.171469,-2.25
-6.071469,-2.35
-5.971469,-2.15
-5.771469,-2.25
-5.571469,-2.15
-5.471469,-2.05
-5.271469,-1.95
-5.071469,-1.85
-4.971469,-1.75
-4.771469,-1.65
-4.671469,-1.45
-4.471469,-1.45
-4.371469,-1.25
-4.171469,-1.15
-4.071469,-0.95
-3.971469,-0.85
-3.771469,-0.65
-3.671469,-0.55
-3.471469,-0.45
-3.371469,-0.35
-3.271469,-0.15
-3.071469,-0.15
-2.971469,5.00E-02
-2.871469,5.00E-02
-2.771469,0.15
-2.671469,0.15
-2.471469,0.25
-2.371469,0.25
-2.271469,0.35
-2.071469,0.25
-1.971469,0.35
-1.871469,0.25
-1.771469,0.35
-1.571469,0.25
-1.371469,0.25
-1.271469,0.15
-1.071469,0.15
-0.9714691,0.15
-0.7714691,5.00E-02
-0.5714691,5.00E-02
-0.3714691,5.00E-02
-0.2714691,-5.00E-02
-7.15E-02,-5.00E-02
-12.37147,1.95
-12.37147,1.65
