U,V
1.950491,-2.254535
1.950491,-2.154535
2.050491,-2.054535
2.150491,-2.054535
2.150491,-1.954535
2.250491,-1.954535
2.250491,-1.854535
2.350491,-1.854535
2.350491,-1.754535
2.350491,-1.654535
2.450491,-1.654535
2.450491,-1.554535
2.550491,-1.454535
2.550491,-1.454535
2.550491,-1.354535
2.650491,-1.254535
2.650491,-1.254535
2.650491,-1.154535
2.750491,-1.054535
2.750491,-1.054535
2.750491,-0.9545349
2.850491,-0.8545349
2.850491,-0.7545349
2.850491,-0.7545349
2.850491,-0.6545349
2.850491,-0.5545349
2.850491,-0.4545349
2.950491,-0.4545349
2.950491,-0.3545349
2.950491,-0.2545349
2.950491,-0.1545349
2.950491,-0.1545349
2.950491,-5.45E-02
2.950491,4.55E-02
2.950491,0.1454651
2.950491,0.1454651
2.950491,0.2454651
2.950491,0.3454651
2.950491,0.4454651
2.850491,0.5454651
2.850491,0.5454651
2.850491,0.6454651
2.850491,0.7454651
2.850491,0.8454651
2.850491,0.8454651
2.750491,0.9454651
2.750491,1.045465
2.750491,1.045465
2.650491,1.145465
2.650491,1.245465
2.650491,1.345465
2.550491,1.345465
2.550491,1.445465
2.550491,1.545465
2.450491,1.545465
2.450491,1.645465
2.350491,1.745465
2.350491,1.745465
2.350491,1.845465
2.250491,1.845465
2.250491,1.945465
2.150491,1.945465
2.150491,2.045465
2.050491,2.145465
1.950491,2.145465
1.950491,2.245465
1.850491,2.245465
1.850491,2.345465
1.450491,-1.454535
1.450491,-1.354535
1.450491,-1.254535
1.450491,-1.254535
1.450491,-1.154535
1.450491,-1.154535
1.450491,-1.054535
1.450491,-0.9545349
1.450491,-0.9545349
1.450491,-0.8545349
1.450491,-0.7545349
1.450491,-0.7545349
1.450491,-0.6545349
1.450491,-0.6545349
1.450491,-0.5545349
1.550491,-0.4545349
1.550491,-0.4545349
1.550491,-0.3545349
1.550491,-0.2545349
1.550491,-0.1545349
1.550491,-0.1545349
1.550491,-5.45E-02
1.550491,-5.45E-02
1.550491,4.55E-02
1.550491,4.55E-02
1.450491,0.1454651
1.450491,0.2454651
1.450491,0.2454651
1.450491,0.3454651
1.450491,0.3454651
1.450491,0.4454651
1.450491,0.4454651
1.450491,0.5454651
1.450491,0.5454651
1.350491,0.6454651
1.350491,0.6454651
1.350491,0.7454651
1.250491,0.7454651
1.250491,0.8454651
1.250491,0.8454651
1.250491,0.8454651
1.250491,0.9454651
1.250491,0.9454651
1.150491,0.9454651
1.150491,1.045465
1.150491,1.045465
1.150491,1.045465
1.150491,1.045465
1.050491,1.045465
1.050491,1.045465
1.050491,1.045465
1.050491,1.045465
1.050491,1.045465
1.050491,1.045465
1.050491,1.045465
1.050491,1.045465
0.9504914,1.045465
0.9504914,1.045465
0.9504914,1.045465
0.9504914,1.045465
1.050491,1.045465
0.9504914,0.9454651
1.050491,0.9454651
1.050491,0.9454651
1.050491,0.9454651
1.050491,0.9454651
1.150491,0.9454651
1.150491,0.9454651
-1.949509,-0.2545349
-2.049509,-0.2545349
-2.149509,-0.2545349
-2.249509,-0.3545349
-2.349509,-0.3545349
-2.449509,-0.3545349
-2.449509,-0.4545349
-2.549509,-0.4545349
-2.549509,-0.5545349
-2.549509,-0.5545349
-2.649509,-0.6545349
-2.649509,-0.6545349
-2.649509,-0.7545349
-2.649509,-0.7545349
-2.549509,-0.7545349
-2.549509,-0.8545349
-2.549509,-0.8545349
-2.449509,-0.8545349
-2.449509,-0.8545349
-2.349509,-0.8545349
-2.349509,-0.8545349
-2.249509,-0.8545349
-2.149509,-0.8545349
-2.149509,-0.8545349
-2.049509,-0.7545349
-1.949509,-0.7545349
-1.849509,-0.7545349
-1.849509,-0.6545349
-1.749509,-0.6545349
-1.749509,-0.5545349
-1.649509,-0.4545349
-1.649509,-0.3545349
-1.549509,-0.3545349
-1.549509,-0.2545349
-1.449509,-0.2545349
-1.449509,-0.1545349
-1.349509,-5.45E-02
-1.349509,4.55E-02
-1.349509,4.55E-02
-1.249509,0.1454651
-1.249509,0.1454651
-1.249509,0.1454651
-1.249509,0.2454651
-1.149509,0.2454651
