ID,TYPE,SIMPLEX,DEGREE,VALUE,PARENT
0,merge,132,-3,37.011,
1,merge,132,0,4.431,0
2,source,132,1,0.000,1
3,saddle,156,-1,0.000,1
4,merge,4785,-3,33.345,0
5,merge,4785,0,15.132,4
6,saddle,4785,-1,0.000,5
7,source,5597,1,0.000,5
8,merge,6083,-3,20.433,4
9,merge,6083,0,5.485,8
10,saddle,6083,-1,0.000,9
11,sink,6757,1,0.000,9
12,merge,8201,-3,5.052,8
13,merge,8201,-3,4.633,12
14,merge,8201,-2,4.615,13
15,saddle,8201,-1,0.000,14
16,saddle,8208,-1,0.000,14
17,saddle,8618,-1,0.000,13
18,merge,8589,0,3.666,12
19,source,8589,1,0.000,18
20,saddle,8854,-1,0.000,18
