U,V
2.500012,-3.3
2.600012,-3.3
2.700012,-3.2
2.800012,-3.1
2.900012,-3.1
2.900012,-3
3.000012,-2.9
3.100012,-2.8
3.200012,-2.7
3.200012,-2.7
3.300012,-2.6
3.400012,-2.5
3.400012,-2.4
3.500012,-2.3
3.500012,-2.2
3.600012,-2.1
3.700012,-2
3.700012,-1.9
3.800012,-1.8
3.800012,-1.7
3.800012,-1.6
3.900012,-1.5
3.900012,-1.4
4.000012,-1.3
4.000012,-1.2
4.000012,-1.1
4.100012,-1
4.100012,-0.9
4.100012,-0.8
4.100012,-0.7
4.100012,-0.6
4.200012,-0.5
4.200012,-0.4
4.200012,-0.3
4.200012,-1.00E-01
4.200012,0.00E+00
4.200012,1.00E-01
4.200012,0.2
4.200012,0.3
4.200012,0.4
4.100012,0.5
4.100012,0.6
4.100012,0.7
4.100012,0.8
4.100012,0.9
4.000012,1
4.000012,1.2
4.000012,1.3
3.900012,1.4
3.900012,1.5
3.900012,1.6
3.800012,1.7
3.800012,1.8
3.700012,1.9
3.700012,2
3.600012,2.1
3.600012,2.2
3.500012,2.2
3.500012,2.3
3.400012,2.4
3.300012,2.5
3.300012,2.6
3.200012,2.7
3.100012,2.8
3.100012,2.9
3.000012,2.9
2.900012,3
2.800012,3.1
3.000012,-2.7
3.100012,-2.5
3.100012,-2.4
3.100012,-2.2
3.300012,-2.1
3.200012,-2
3.300012,-1.8
3.300012,-1.7
3.400012,-1.6
3.300012,-1.4
3.400012,-1.3
3.400012,-1.2
3.400012,-1.1
3.400012,-0.9
3.500012,-0.8
3.400012,-0.7
3.500012,-0.5
3.400012,-0.4
3.400012,-0.3
3.400012,-0.2
3.400012,0.00E+00
3.400012,1.00E-01
3.400012,0.2
3.300012,0.3
3.400012,0.4
3.200012,0.5
3.300012,0.6
3.200012,0.7
3.200012,0.8
3.100012,0.9
3.100012,1
3.100012,1.1
3.000012,1.2
2.900012,1.3
2.900012,1.4
2.800012,1.5
2.900012,1.5
2.700012,1.6
2.700012,1.6
2.600012,1.7
2.600012,1.7
2.500012,1.8
2.500012,1.8
2.400012,1.9
2.400012,1.9
2.300012,1.9
2.300012,1.9
2.200012,2
2.200012,2
2.100012,2
2.100012,2.1
2.000012,2.1
2.000012,2.1
1.900012,2.1
1.900012,2.1
1.900012,2.1
1.900012,2
1.800012,2.1
1.800012,2.1
1.700012,2.1
1.700012,2
1.700012,2.1
1.700012,2
1.700012,2.1
1.700012,2
1.700012,2.1
1.600012,2
1.600012,2.1
0.6000122,-1.7
0.5000122,-1.6
0.5000122,-1.4
0.4000122,-1.3
0.4000122,-1.2
0.3000122,-1.1
0.3000122,-0.9
0.2000122,-0.8
0.2000122,-0.7
0.1000122,-0.6
0.1000122,-0.5
1.22E-05,-0.4
1.22E-05,-0.3
1.22E-05,-0.2
-1.00E-01,-1.00E-01
-1.00E-01,0.00E+00
-1.00E-01,1.00E-01
-1.00E-01,0.2
-0.1999878,0.3
-0.1999878,0.4
-0.1999878,0.5
-0.1999878,0.6
-0.1999878,0.7
-0.1999878,0.8
-0.1999878,0.9
-0.2999878,1
-0.2999878,1
-0.2999878,1.1
-0.2999878,1.2
-0.2999878,1.3
-0.2999878,1.4
-0.2999878,1.5
-0.3999878,1.5
-0.3999878,1.6
-0.3999878,1.6
-0.3999878,1.7
-0.3999878,1.8
-0.4999878,1.8
-0.4999878,1.8
-0.4999878,1.9
-0.4999878,1.9
-0.5999878,1.9
-0.5999878,1.9
-0.5999878,1.9
-0.5999878,1.9
-0.5999878,1.9
-0.6999878,1.8
-0.6999878,1.8
-0.6999878,1.7
-0.6999878,1.7
-0.6999878,1.6
-0.6999878,1.6
-0.5999878,1.5
-0.5999878,1.4
-0.5999878,1.3
-0.5999878,1.3
-0.4999878,1.1
-0.4999878,1.1
-0.3999878,0.9
-0.3999878,0.9
-0.2999878,0.8
-0.1999878,0.7
-0.1999878,0.6
1.22E-05,0.5
1.22E-05,0.4
0.2000122,0.4
0.2000122,0.3
0.4000122,0.3
-3.999988,-0.2
-4.299988,-0.2
-4.399988,-0.2
-4.599988,-0.2
-4.799988,-0.2
-4.999988,-0.3
-5.099988,-0.3
-5.199988,-0.3
-5.299988,-0.4
-5.399988,-0.4
-5.499988,-0.4
-5.599988,-0.4
-5.599988,-0.5
-5.699988,-0.5
-5.699988,-0.5
-5.699988,-0.5
-5.799988,-0.5
-5.799988,-0.5
-5.699988,-0.5
-5.699988,-0.5
-5.699988,-0.4
-5.599988,-0.4
-5.599988,-0.3
-5.599988,-0.3
-5.499988,-0.2
-5.499988,-0.2
-5.399988,-1.00E-01
-5.399988,-1.00E-01
-5.299988,0.00E+00
-5.299988,1.00E-01
-5.199988,1.00E-01
-5.199988,0.2
-5.199988,0.2
-5.099988,0.3
-5.099988,0.3
-4.999988,0.3
-4.899988,0.4
-4.899988,0.4
-4.799988,0.4
-4.799988,0.5
-4.699988,0.4
-4.699988,0.4
