ID,TYPE,SIMPLEX,DEGREE,VALUE,PARENT,ROBUSTNESS
0,merge,4785,-1,32.710,,11.002262
1,merge,4785,0,11.002,0,11.002262
2,saddle,4785,-1,0.000,1,11.002262
3,source,5597,1,0.000,1,11.002262
4,merge,6081,-1,20.045,0,5.5226703
5,merge,6081,0,5.523,4,5.5226703
6,saddle,6081,-1,0.000,5,5.5226703
7,sink,6757,1,0.000,5,5.5226703
8,merge,8067,-1,5.780,4,3.4028235E38
9,saddle,8067,-1,0.000,8,3.4028235E38
10,merge,8210,0,2.668,8,2.6683211
11,source,8210,1,0.000,10,2.6683211
12,saddle,8755,-1,0.000,10,2.6683211
