ID,TYPE,SIMPLEX,DEGREE,VALUE,PARENT
0,merge,132,2,38.559,
1,merge,132,1,2.054,0
2,saddle,132,-1,0.000,1
3,merge,216,2,0.929,1
4,merge,216,1,0.769,3
5,merge,216,-1,0.630,4
6,merge,216,0,0.134,5
7,saddle,216,-1,0.000,6
8,source,218,1,0.000,6
9,merge,230,-1,0.134,5
10,leaf,230,0,0.000,9
11,saddle,232,-1,0.000,9
12,merge,239,2,0.134,4
13,source,239,1,0.000,12
14,source,241,1,0.000,12
15,source,267,1,0.000,3
16,merge,4791,1,33.424,0
17,merge,4791,0,11.323,16
18,saddle,4791,-1,0.000,17
19,sink,5592,1,0.000,17
20,merge,6348,1,20.188,16
21,merge,6348,0,4.907,20
22,saddle,6348,-1,0.000,21
23,sink,6757,1,0.000,21
24,merge,8200,1,3.491,20
25,merge,8200,2,2.367,24
26,source,8200,1,0.000,25
27,source,8210,1,0.000,25
28,saddle,8888,-1,0.000,24
