ID,TYPE,SIMPLEX,DEGREE,VALUE,PARENT,ROBUSTNESS
0,merge,181,-1,35.582,,2.408702
1,merge,181,0,2.409,0,2.408702
2,source,181,1,0.000,1,2.408702
3,saddle,266,-1,0.000,1,2.408702
4,merge,4785,-1,31.934,0,13.07233
5,merge,4785,0,13.072,4,13.07233
6,saddle,4785,-1,0.000,5,13.07233
7,source,5595,1,0.000,5,13.07233
8,merge,6080,-1,19.499,4,5.273731
9,merge,6080,0,5.274,8,5.273731
10,saddle,6080,-1,0.000,9,5.273731
11,sink,6757,1,0.000,9,5.273731
12,merge,8211,-1,5.537,8,3.171863
13,merge,8211,0,3.172,12,3.171863
14,sink,8211,1,0.000,13,3.171863
15,saddle,8755,-1,0.000,13,3.171863
16,saddle,8469,-1,0.000,12,3.4028235E38
