ID,TYPE,SIMPLEX,DEGREE,VALUE,PARENT,ROBUSTNESS
0,merge,132,1,36.036,,3.4028235E38
1,merge,132,2,2.529,0,3.4028235E38
2,source,132,1,0.000,1,3.4028235E38
3,sink,154,1,0.000,1,3.4028235E38
4,merge,4785,-1,34.166,0,13.685991
5,merge,4785,0,13.686,4,13.685991
6,saddle,4785,-1,0.000,5,13.685991
7,source,5595,1,0.000,5,13.685991
8,merge,5949,-1,21.265,4,5.73242
9,merge,5949,0,5.732,8,5.73242
10,saddle,5949,-1,0.000,9,5.73242
11,sink,6757,1,0.000,9,5.73242
12,merge,8201,-1,5.604,8,3.4028235E38
13,merge,8201,-1,5.466,12,3.4028235E38
14,saddle,8201,-1,0.000,13,3.4028235E38
15,merge,8318,0,0.284,13,0.28380892
16,source,8318,1,0.000,15,0.28380892
17,saddle,8455,-1,0.000,15,0.28380892
18,merge,8211,0,4.702,12,4.7024274
19,source,8211,1,0.000,18,4.7024274
20,saddle,8755,-1,0.000,18,4.7024274
