ID,TYPE,SIMPLEX,DEGREE,VALUE,PARENT
0,merge,132,-4,37.292,
1,merge,132,-3,2.974,0
2,saddle,132,-1,0.000,1
3,merge,190,-2,1.550,1
4,saddle,190,-1,0.000,3
5,merge,251,-1,0.769,3
6,leaf,251,0,0.000,5
7,saddle,267,-1,0.000,5
8,merge,4784,-1,34.331,0
9,merge,4784,0,12.209,8
10,saddle,4784,-1,0.000,9
11,source,5592,1,0.000,9
12,merge,6215,-1,18.951,8
13,merge,6215,0,4.952,12
14,saddle,6215,-1,0.000,13
15,sink,6757,1,0.000,13
16,merge,8200,-1,3.649,12
17,source,8200,1,0.000,16
18,merge,8344,-2,1.371,16
19,saddle,8344,-1,0.000,18
20,saddle,8755,-1,0.000,18
