ID,TYPE,SIMPLEX,DEGREE,VALUE,PARENT
0,merge,132,1,35.231,
1,merge,132,2,3.517,0
2,source,132,1,0.000,1
3,sink,144,1,0.000,1
4,merge,4928,-1,33.774,0
5,merge,4928,0,13.429,4
6,saddle,4928,-1,0.000,5
7,source,5595,1,0.000,5
8,merge,6216,-1,18.310,4
9,merge,6216,0,4.606,8
10,saddle,6216,-1,0.000,9
11,sink,6756,1,0.000,9
12,merge,8199,-1,8.624,8
13,merge,8199,-3,3.643,12
14,saddle,8199,-1,0.000,13
15,merge,8342,-2,2.413,13
16,saddle,8342,-1,0.000,15
17,saddle,8621,-1,0.000,15
18,merge,8455,2,0.205,12
19,source,8455,1,0.000,18
20,source,8588,1,0.000,18
