ID,TYPE,SIMPLEX,DEGREE,VALUE,PARENT,ROBUSTNESS
0,merge,146,-3,36.629,,1.7691829
1,merge,146,-2,2.062,0,1.7691829
2,merge,146,-1,2.059,1,1.7691829
3,merge,146,0,1.769,2,1.7691829
4,sink,146,1,0.000,3,1.7691829
5,saddle,396,-1,0.000,3,1.7691829
6,saddle,266,-1,0.000,2,3.4028235E38
7,saddle,401,-1,0.000,1,3.4028235E38
8,merge,4785,-1,32.867,0,12.210249
9,merge,4785,0,12.210,8,12.210249
10,saddle,4785,-1,0.000,9,12.210249
11,source,5593,1,0.000,9,12.210249
12,merge,5951,-1,21.038,8,6.1846614
13,merge,5951,0,6.185,12,6.1846614
14,saddle,5951,-1,0.000,13,6.1846614
15,sink,6759,1,0.000,13,6.1846614
16,merge,8211,-1,5.504,12,3.8052561
17,merge,8211,0,3.805,16,3.8052561
18,source,8211,1,0.000,17,3.8052561
19,saddle,8755,-1,0.000,17,3.8052561
20,saddle,8335,-1,0.000,16,3.4028235E38
