U,V
6.471433,-3.6
6.571433,-3.4
6.671432,-3.3
6.771432,-3.1
6.871433,-2.9
6.871433,-2.7
6.971433,-2.5
7.071433,-2.4
7.071433,-2.2
7.171432,-2
7.171432,-1.8
7.271432,-1.6
7.271432,-1.4
7.371433,-1.2
7.371433,-1
7.371433,-0.8
7.371433,-0.6
7.471433,-0.5
7.471433,-0.3
7.471433,-1.00E-01
7.471433,1.00E-01
7.471433,0.3
7.371433,0.5
7.371433,0.7
7.371433,0.9
7.371433,1.1
7.371433,1.3
7.271432,1.5
7.271432,1.7
7.171432,1.9
7.171432,2
7.071433,2.2
7.071433,2.4
6.971433,2.6
6.871433,2.8
6.771432,3
6.771432,3.1
6.671432,3.3
6.571433,3.5
6.471433,3.7
6.371433,3.8
6.271432,4
6.171432,4.2
6.071433,4.3
5.971433,4.5
5.771432,4.6
5.671432,4.8
5.571433,4.9
5.471433,5.1
5.271432,5.2
5.171432,5.3
5.071433,5.5
4.871433,5.6
4.771432,5.7
4.571433,5.9
4.471433,6
4.271432,6.1
4.071433,6.2
3.971432,6.3
3.771433,6.4
3.571433,6.5
3.471432,6.6
3.271433,6.7
3.071433,6.8
2.871433,6.8
2.771433,6.9
2.571433,7
2.371433,7.1
5.171432,-1.8
5.071433,-1.6
5.171432,-1.5
5.171432,-1.3
5.071433,-1.2
5.171432,-1
5.171432,-0.9
5.171432,-0.8
5.171432,-0.6
5.171432,-0.5
5.171432,-0.4
5.071433,-0.2
5.071433,-1.00E-01
5.071433,1.00E-01
5.071433,0.2
5.071433,0.3
5.071433,0.4
5.071433,0.6
5.071433,0.7
5.071433,0.9
5.071433,1
4.971433,1.1
4.971433,1.2
4.971433,1.4
4.971433,1.5
4.871433,1.6
4.871433,1.7
4.871433,1.9
4.871433,2
4.771432,2.1
4.771432,2.2
4.771432,2.4
4.771432,2.5
4.671432,2.7
4.571433,2.8
4.571433,2.9
4.571433,3.1
4.471433,3.2
4.371433,3.3
4.371433,3.4
4.271432,3.5
4.171432,3.7
4.171432,3.8
4.071433,3.9
4.071433,4
3.971432,4.1
3.871433,4.2
3.771433,4.3
3.771433,4.5
3.671432,4.5
3.571433,4.7
3.471432,4.7
3.371433,4.8
3.371433,4.9
3.271433,5
3.071433,5.1
3.071433,5.2
2.971432,5.3
2.871433,5.3
2.771433,5.4
2.671432,5.5
2.571433,5.6
2.471432,5.6
2.371433,5.7
2.271433,5.7
2.171432,5.8
2.071433,5.8
1.971433,5.9
-1.928568,0.2
-2.028568,0.2
-2.028568,0.2
-2.028568,1.00E-01
-2.128567,1.00E-01
-2.128567,1.00E-01
-2.128567,1.00E-01
-2.128567,1.00E-01
-2.028568,1.00E-01
-2.028568,0.00E+00
-1.928568,0.00E+00
-1.928568,0.00E+00
-1.828568,0.00E+00
-1.828568,0.00E+00
-1.728567,0.00E+00
-1.628568,0.00E+00
-1.528568,0.00E+00
-1.428568,1.00E-01
-1.328568,1.00E-01
-1.328568,1.00E-01
-1.128568,0.2
-1.128568,0.2
-0.9285675,0.2
-0.9285675,0.3
-0.7285675,0.3
-0.7285675,0.4
-0.5285675,0.5
-0.5285675,0.6
-0.3285675,0.6
-0.3285675,0.7
-0.2285675,0.8
-0.1285675,0.9
-2.86E-02,0.9
-2.86E-02,1.1
7.14E-02,1.1
0.1714325,1.3
0.2714325,1.3
0.2714325,1.5
0.3714325,1.5
0.3714325,1.7
0.4714325,1.8
0.4714325,1.9
0.5714325,2
0.5714325,2.1
0.6714325,2.2
0.6714325,2.4
0.7714325,2.4
0.7714325,2.6
0.7714325,2.7
0.7714325,2.8
0.8714325,2.9
0.8714325,3
0.8714325,3.1
0.8714325,3.3
0.9714325,3.3
0.9714325,3.5
0.9714325,3.5
0.9714325,3.6
0.9714325,3.7
0.9714325,3.8
1.071432,3.8
1.071432,3.9
1.071432,4
1.071432,4.1
1.071432,4.1
1.071432,4.2
1.071432,4.2
1.071432,4.3
-10.82857,0.8
-10.92857,0.7
-11.02857,0.5
-11.12857,0.3
-11.22857,1.00E-01
-11.22857,-1.00E-01
-11.12857,-0.3
-11.12857,-0.5
-11.02857,-0.7
-10.92857,-0.8
-10.82857,-1
-10.62857,-1.1
-10.42857,-1.3
-10.22857,-1.4
-10.02857,-1.5
-9.728568,-1.6
-9.428568,-1.7
-9.128568,-1.7
-8.828568,-1.8
-8.528567,-1.8
-8.228568,-1.9
-7.928567,-1.8
-7.628568,-1.9
-7.328568,-1.8
-7.128568,-1.9
-6.828568,-1.8
-6.528568,-1.8
-6.328568,-1.7
-6.128568,-1.7
-5.928567,-1.6
-5.628568,-1.6
-5.528568,-1.5
-5.328568,-1.5
-5.128568,-1.4
-4.928567,-1.3
-4.828568,-1.3
-4.628568,-1.2
-4.528568,-1.1
-4.328568,-1
-4.128568,-0.9
-4.028568,-0.9
-3.928568,-0.8
-3.728568,-0.7
-3.528568,-0.5
-3.428568,-0.5
-3.228568,-0.3
-3.128567,-0.2
-2.928568,0.00E+00
-2.728568,0.00E+00
-2.628567,0.2
-2.428568,0.3
-2.228568,0.5
-2.128567,0.6
-1.928568,0.8
-1.728567,0.9
-1.628568,1.1
-1.428568,1.2
-1.228567,1.4
-1.128568,1.4
-0.9285675,1.6
-0.8285675,1.7
-0.7285675,1.8
-0.5285675,1.9
-0.4285675,2
-0.2285675,2
-0.1285675,2.1
-2.86E-02,2.1
0.1714325,2.2
-14.62857,1.7
-15.02857,1.4
-15.32857,1.1
-15.62857,0.8
-15.82857,0.5
-16.02857,1.00E-01
-16.12857,-0.2
-16.22857,-0.6
-16.12857,-0.9
-16.12857,-1.2
-15.92857,-1.5
-15.72857,-1.8
-15.52857,-2
-15.22857,-2.2
-14.82857,-2.5
-14.52857,-2.6
-14.12857,-2.8
-13.72857,-2.8
-13.22857,-2.9
-12.82857,-3
-12.42857,-3
-12.02857,-3
-11.62857,-3.1
-11.32857,-3.1
-10.92857,-3.1
-10.62857,-3.1
-10.32857,-3.1
-10.02857,-3.1
-9.828568,-3.2
-9.628568,-3.2
-9.428568,-3.2
-9.228568,-3.2
-9.028567,-3.2
-8.928568,-3.2
-8.728568,-3.2
-8.628568,-3.2
-8.428568,-3.3
-8.228568,-3.3
-8.028567,-3.3
-7.928567,-3.3
-7.728568,-3.3
-7.528568,-3.3
-7.328568,-3.3
-7.128568,-3.2
-6.828568,-3.2
-6.628568,-3.1
-6.328568,-3.1
-6.128568,-2.9
-5.828568,-2.8
-5.528568,-2.7
-5.228568,-2.5
-4.928567,-2.3
-4.628568,-2.2
-4.328568,-2
-4.028568,-1.8
-3.828568,-1.6
