ID,TYPE,SIMPLEX,DEGREE,VALUE,PARENT,ROBUSTNESS
0,merge,132,-7,35.984,,3.4028235E38
1,merge,132,-2,3.489,0,3.4028235E38
2,merge,132,-1,3.386,1,3.4028235E38
3,source,132,1,0.000,2,3.4028235E38
4,merge,532,-2,0.405,2,3.4028235E38
5,saddle,532,-1,0.000,4,3.4028235E38
6,saddle,535,-1,0.000,4,3.4028235E38
7,saddle,136,-1,0.000,1,3.4028235E38
8,merge,4785,-5,29.296,0,13.588696
9,merge,4785,0,13.589,8,13.588696
10,merge,4785,-1,4.015,9,13.588696
11,saddle,4785,-1,0.000,10,13.588696
12,merge,4795,0,0.405,10,0.40503126
13,source,4795,1,0.000,12,0.40503126
14,saddle,4931,-1,0.000,12,0.40503126
15,source,5594,1,0.000,9,13.588696
16,merge,6214,-5,19.706,8,3.4028235E38
17,merge,6214,-2,5.572,16,3.4028235E38
18,saddle,6214,-1,0.000,17,3.4028235E38
19,saddle,6756,-1,0.000,17,3.4028235E38
20,merge,8067,-3,3.999,16,3.4028235E38
21,merge,8067,-2,2.435,20,3.4028235E38
22,saddle,8067,-1,0.000,21,3.4028235E38
23,saddle,8210,-1,0.000,21,3.4028235E38
24,saddle,8891,-1,0.000,20,3.4028235E38
