U,V
6.397351,-2.95
6.497351,-2.75
6.497351,-2.55
6.597351,-2.45
6.697351,-2.25
6.697351,-2.05
6.797351,-1.85
6.797351,-1.75
6.897351,-1.55
6.897351,-1.35
6.897351,-1.15
6.997351,-0.95
6.997351,-0.85
6.997351,-0.65
6.997351,-0.45
6.997351,-0.25
6.997351,-5.00E-02
6.997351,0.15
6.997351,0.25
6.997351,0.45
6.997351,0.65
6.997351,0.85
6.997351,1.05
6.897351,1.25
6.897351,1.35
6.897351,1.55
6.797351,1.75
6.797351,1.95
6.697351,2.05
6.697351,2.25
6.597351,2.45
6.497351,2.65
6.497351,2.75
6.397351,2.95
6.297351,3.15
6.197351,3.25
6.097351,3.45
5.997351,3.65
5.897351,3.75
5.797351,3.95
5.697351,4.05
5.597351,4.25
5.497351,4.35
5.397351,4.55
5.297351,4.65
5.197351,4.75
4.997351,4.95
4.897351,5.05
4.797351,5.15
4.597351,5.25
4.497351,5.45
4.297351,5.55
4.197351,5.65
4.097351,5.75
3.897351,5.85
3.697351,5.95
3.597351,6.05
3.397351,6.15
3.297351,6.25
3.097351,6.35
2.897351,6.35
2.797351,6.45
2.597351,6.55
2.397351,6.55
2.297351,6.65
2.097351,6.75
1.897351,6.75
1.697351,6.85
5.197351,-0.85
5.197351,-0.65
5.197351,-0.55
5.197351,-0.35
5.097351,-0.15
5.097351,-5.00E-02
4.997351,5.00E-02
4.997351,0.25
4.997351,0.25
4.897351,0.45
4.897351,0.55
4.797351,0.75
4.797351,0.85
4.797351,0.95
4.697351,1.05
4.697351,1.25
4.597351,1.35
4.597351,1.45
4.597351,1.55
4.497351,1.65
4.497351,1.75
4.497351,1.85
4.397351,1.95
4.397351,2.15
4.397351,2.25
4.297351,2.25
4.297351,2.35
4.297351,2.55
4.197351,2.55
4.197351,2.75
4.097351,2.75
4.097351,2.95
3.997351,3.05
3.997351,3.05
3.897351,3.15
3.897351,3.35
3.897351,3.35
3.797351,3.45
3.797351,3.55
3.697351,3.65
3.597351,3.75
3.597351,3.85
3.497351,3.95
3.497351,4.05
3.397351,4.15
3.397351,4.25
3.297351,4.25
3.197351,4.35
3.097351,4.45
3.097351,4.55
2.997351,4.55
2.997351,4.65
2.897351,4.75
2.797351,4.75
2.697351,4.85
2.597351,4.95
2.497351,4.95
2.497351,5.05
2.397351,5.05
2.297351,5.15
2.197351,5.25
2.097351,5.25
1.997351,5.25
1.997351,5.35
1.797351,5.45
1.697351,5.45
1.697351,5.45
1.597351,5.55
-1.402649,0.75
-1.502649,0.85
-1.602649,0.85
-1.802649,0.85
-1.802649,0.85
-2.002649,0.85
-2.002649,0.95
-2.102649,0.85
-2.202649,0.75
-2.202649,0.85
-2.202649,0.85
-2.302649,0.85
-2.302649,0.75
-2.302649,0.85
-2.302649,0.75
-2.302649,0.85
-2.202649,0.75
-2.202649,0.85
-2.102649,0.75
-2.102649,0.85
-2.002649,0.75
-1.902649,0.85
-1.802649,0.75
-1.802649,0.95
-1.602649,0.85
