ID,TYPE,SIMPLEX,DEGREE,VALUE,PARENT
0,merge,4789,-1,30.161,
1,merge,4789,0,10.932,0
2,saddle,4789,-1,0.000,1
3,sink,5592,1,0.000,1
4,merge,6215,-1,21.539,0
5,merge,6215,0,4.631,4
6,saddle,6215,-1,0.000,5
7,sink,6757,1,0.000,5
8,merge,8067,-1,4.039,4
9,merge,8067,0,2.604,8
10,saddle,8067,-1,0.000,9
11,source,8210,1,0.000,9
12,saddle,8891,-1,0.000,8
