ID,TYPE,SIMPLEX,DEGREE,VALUE,PARENT,ROBUSTNESS
0,merge,132,0,36.222,,36.222343
1,merge,132,1,2.806,0,36.222343
2,leaf,132,0,0.000,1,36.222343
3,source,134,1,0.000,1,36.222343
4,merge,4920,-1,33.802,0,36.222343
5,merge,4920,2,12.962,4,36.222343
6,merge,4920,1,4.319,5,36.222343
7,saddle,4920,-1,0.000,6,36.222343
8,merge,5606,2,0.604,6,36.222343
9,source,5606,1,0.000,8,36.222343
10,source,5879,1,0.000,8,36.222343
11,source,5593,1,0.000,5,36.222343
12,merge,5949,-3,19.884,4,5.7440286
13,merge,5949,0,5.744,12,5.7440286
14,saddle,5949,-1,0.000,13,5.7440286
15,sink,6759,1,0.000,13,5.7440286
16,merge,8198,-3,7.959,12,36.222343
17,merge,8198,-3,3.344,16,36.222343
18,saddle,8198,-1,0.000,17,36.222343
19,merge,8210,-2,3.328,17,36.222343
20,saddle,8210,-1,0.000,19,36.222343
21,saddle,8621,-1,0.000,19,36.222343
22,merge,8455,0,0.301,16,0.3013294
23,source,8455,1,0.000,22,0.3013294
24,saddle,8588,-1,0.000,22,0.3013294
