U,V
-14.70382,-1.332147
-14.70382,-1.632147
-14.70382,-1.832147
-14.70382,-2.132147
-14.60382,-2.232147
-14.60382,-2.432147
-14.50382,-2.532147
-14.40382,-2.732147
-14.30382,-2.732147
-14.20382,-2.932147
-14.00382,-2.932147
-13.90382,-3.032147
-13.70382,-3.132147
-13.60382,-3.232147
-13.30382,-3.232147
-13.20382,-3.432147
-12.90382,-3.432147
-12.70382,-3.632147
-12.40382,-3.732147
-12.20382,-3.932147
-11.90382,-4.032147
-11.70382,-4.132147
-11.40382,-4.232147
-11.10382,-4.432148
-10.90382,-4.532147
-10.60382,-4.732147
-10.30382,-4.832147
-10.10382,-5.032147
-9.803818,-5.132147
-9.503818,-5.232147
-9.203818,-5.332147
-9.003818,-5.432148
-8.703818,-5.532147
-8.403818,-5.632147
-8.103818,-5.632147
-7.803818,-5.732147
-7.503818,-5.732147
-7.203818,-5.632147
-6.803818,-5.632147
-6.503818,-5.532147
-6.203818,-5.332147
-5.803818,-5.332147
-5.503818,-5.032147
-5.103818,-4.932148
-4.703818,-4.732147
-4.403818,-4.532147
-4.003818,-4.232147
-3.703818,-4.032147
-3.303818,-3.732147
-2.903818,-3.532147
-2.603818,-3.232147
-2.203818,-3.032147
-1.903818,-2.732147
-1.603818,-2.532147
-1.303818,-2.232147
-1.003818,-2.032147
-0.7038178,-1.832147
-0.4038177,-1.632147
-14.80382,2.467853
-15.00382,1.967853
-15.20382,1.467853
-15.40382,0.9678528
-15.50382,0.4678528
-15.70382,6.79E-02
-15.80382,-0.3321472
-15.80382,-0.6321473
-15.80382,-0.9321472
-15.70382,-1.132147
-15.60382,-1.332147
-15.50382,-1.632147
-15.40382,-1.832147
-15.30382,-2.032147
-15.20382,-2.232147
-15.10382,-2.332147
-15.00382,-2.532147
-14.80382,-2.632147
-14.70382,-2.832147
-14.60382,-2.932147
-14.50382,-3.032147
-14.30382,-3.132147
-14.10382,-3.232147
-13.90382,-3.332147
-13.70382,-3.432147
-13.40382,-3.632147
-13.10382,-3.832147
-12.90382,-4.032147
-12.60382,-4.232147
-12.30382,-4.432148
-12.00382,-4.632147
-11.70382,-4.932148
-11.50382,-5.132147
-11.20382,-5.332147
-10.90382,-5.532147
-10.60382,-5.732147
-10.30382,-5.932148
-10.00382,-6.132147
-9.803818,-6.332147
-9.503818,-6.532147
-9.303818,-6.732147
-9.003818,-6.932148
-8.803818,-7.032147
-8.603818,-7.132147
-8.303818,-7.332147
-8.103818,-7.432148
-7.803818,-7.432148
-7.503818,-7.532147
-7.203818,-7.532147
-6.903818,-7.532147
-6.603818,-7.432148
-6.303818,-7.332147
-6.003818,-7.232147
-5.603818,-7.032147
-5.303818,-6.832147
-4.903818,-6.632147
-4.603818,-6.432148
-4.203818,-6.132147
-3.803818,-5.932148
-3.403818,-5.632147
-3.103818,-5.432148
-2.703818,-5.132147
-2.303818,-4.932148
-2.003818,-4.732147
-1.603818,-4.432148
-1.303818,-4.332147
-1.003818,-4.032147
-0.7038178,-3.832147
-15.60382,1.067853
-15.60382,0.6678528
-15.60382,0.3678528
-15.60382,-3.21E-02
-15.60382,-0.2321472
-15.50382,-0.5321472
-15.40382,-0.6321473
-15.30382,-0.8321472
-15.10382,-0.9321472
-14.90382,-0.9321472
-14.60382,-1.032147
-14.30382,-1.032147
-14.10382,-1.032147
-13.80382,-1.132147
-13.60382,-1.132147
-13.40382,-1.232147
-13.10382,-1.332147
-12.90382,-1.532147
-12.70382,-1.632147
-12.40382,-1.832147
-12.10382,-2.032147
-11.80382,-2.232147
-11.50382,-2.532147
-11.20382,-2.832147
-10.90382,-3.032147
-10.70382,-3.332147
-10.50382,-3.632147
-10.30382,-3.932147
-10.00382,-4.232147
-9.803818,-4.532147
-9.603818,-4.732147
-9.303818,-5.032147
-9.103818,-5.232147
