U,V
4.298636,-3
4.398636,-2.9
4.398636,-2.8
4.498636,-2.7
4.598636,-2.6
4.598636,-2.4
4.698636,-2.3
4.798636,-2.2
4.798636,-2.1
4.898636,-2
4.898636,-1.8
4.998636,-1.7
4.998636,-1.6
5.098636,-1.4
5.098636,-1.3
5.098636,-1.2
5.198636,-1
5.198636,-0.9
5.198636,-0.8
5.198636,-0.6
5.198636,-0.5
5.198636,-0.3
5.198636,-0.2
5.298636,-1.00E-01
5.298636,1.00E-01
5.198636,0.2
5.198636,0.3
5.198636,0.5
5.198636,0.6
5.198636,0.7
5.198636,0.9
5.198636,1
5.098636,1.2
5.098636,1.3
5.098636,1.4
4.998636,1.6
4.998636,1.7
4.898636,1.8
4.898636,1.9
4.798636,2.1
4.798636,2.2
4.698636,2.3
4.698636,2.4
4.598636,2.6
4.498636,2.7
4.398636,2.8
4.398636,2.9
4.298636,3
4.198636,3.1
4.098636,3.2
3.998636,3.4
3.998636,3.5
3.898636,3.6
3.798636,3.7
3.698636,3.8
3.598636,3.9
3.498636,3.9
3.398636,4
3.298636,4.1
3.098636,4.2
2.998636,4.3
2.898636,4.4
2.798636,4.4
2.698636,4.5
2.598636,4.6
2.498636,4.6
2.298636,4.7
2.198636,4.8
3.798636,-1.9
3.798636,-1.7
3.798636,-1.6
3.898636,-1.4
3.798636,-1.3
3.798636,-1.2
3.798636,-1.1
3.898636,-1
3.798636,-0.8
3.798636,-0.7
3.798636,-0.6
3.798636,-0.5
3.798636,-0.3
3.798636,-0.2
3.798636,-1.00E-01
3.798636,0.00E+00
3.798636,1.00E-01
3.698636,0.2
3.698636,0.3
3.698636,0.4
3.698636,0.5
3.698636,0.7
3.598636,0.8
3.598636,0.8
3.598636,0.9
3.598636,1.1
3.598636,1.2
3.598636,1.3
3.498636,1.4
3.498636,1.5
3.398636,1.6
3.398636,1.7
3.398636,1.8
3.398636,1.9
3.298636,2
3.298636,2.1
3.198636,2.2
3.198636,2.3
3.198636,2.4
3.098636,2.4
3.098636,2.5
3.098636,2.6
2.998636,2.7
2.898636,2.8
2.898636,2.9
2.898636,3
2.798636,3
2.698636,3.1
2.698636,3.1
2.598636,3.2
2.598636,3.3
2.498636,3.3
2.398636,3.4
2.398636,3.4
2.298636,3.5
2.298636,3.6
2.198636,3.6
2.198636,3.6
2.098636,3.7
2.098636,3.7
1.998636,3.7
1.898636,3.8
1.898636,3.8
1.898636,3.9
1.798636,3.8
1.698636,3.9
1.698636,3.9
1.598636,3.9
-0.5013642,-0.3
-0.6013641,-0.2
-0.6013641,-0.2
-0.7013642,-0.2
-0.7013642,-1.00E-01
-0.8013641,-1.00E-01
-0.8013641,-1.00E-01
-0.9013641,0.00E+00
-0.9013641,0.00E+00
-0.9013641,0.00E+00
-1.001364,1.00E-01
-1.001364,1.00E-01
-1.001364,1.00E-01
-1.001364,1.00E-01
-1.001364,1.00E-01
-1.001364,0.2
-1.001364,0.2
-1.001364,0.3
-1.001364,0.3
-1.001364,0.3
-1.001364,0.4
-1.001364,0.4
-1.001364,0.4
-1.001364,0.5
-0.9013641,0.5
-0.9013641,0.6
-0.9013641,0.6
-0.9013641,0.7
-0.8013641,0.7
-0.8013641,0.8
-0.7013642,0.8
-0.7013642,0.9
-0.7013642,1
-0.6013641,1.1
-0.6013641,1.1
-0.5013642,1.2
-0.5013642,1.2
-0.4013641,1.3
-0.4013641,1.4
-0.4013641,1.5
-0.3013642,1.5
-0.3013642,1.6
-0.2013641,1.7
-0.2013641,1.8
-0.1013641,1.8
-0.1013641,1.9
-1.36E-03,2
-1.36E-03,2
-1.36E-03,2.1
9.86E-02,2.1
9.86E-02,2.2
9.86E-02,2.2
0.1986359,2.3
0.1986359,2.3
0.1986359,2.3
0.1986359,2.4
0.2986359,2.4
0.2986359,2.4
0.3986359,2.4
0.3986359,2.4
0.3986359,2.4
0.4986359,2.4
0.4986359,2.4
0.5986359,2.4
0.5986359,2.4
0.6986359,2.4
0.6986359,2.4
0.7986359,2.4
-8.001365,0.4
-8.001365,0.3
-8.001365,1.00E-01
-8.001365,0.00E+00
-8.001365,-0.2
-7.901364,-0.2
-7.901364,-0.4
-7.801364,-0.4
-7.701364,-0.6
-7.601364,-0.6
-7.501364,-0.7
-7.401364,-0.7
-7.301364,-0.9
-7.201364,-0.9
-7.101364,-0.9
-6.901364,-0.9
-6.901364,-1
-6.801364,-1
-6.701364,-1
-6.601364,-1
-6.501364,-1
-6.401364,-1
-6.301364,-1
-6.301364,-0.9
-6.201364,-1
-6.101364,-0.9
-6.101364,-1
-6.001364,-0.9
-5.901364,-0.9
-5.801364,-0.8
-5.701364,-0.9
-5.701364,-0.8
-5.501364,-0.8
-5.401364,-0.8
-5.301364,-0.8
-5.201364,-0.7
-5.101364,-0.7
-4.901364,-0.7
-4.801364,-0.7
-4.601364,-0.6
-4.501364,-0.6
-4.301364,-0.5
-4.201364,-0.5
-4.001364,-0.4
-3.801364,-0.4
-3.601364,-0.3
-3.501364,-0.2
-3.301364,-1.00E-01
-3.201364,-1.00E-01
-3.001364,0.00E+00
-2.901364,0.00E+00
-2.701364,1.00E-01
-2.601364,0.2
-2.401364,0.2
-2.201364,0.2
-2.101364,0.3
-1.901364,0.3
-1.801364,0.3
-1.701364,0.3
-1.501364,0.3
-1.401364,0.3
-1.201364,0.3
-1.001364,0.2
-0.8013641,0.2
-0.7013642,0.2
-0.5013642,0.2
-0.3013642,0.2
-0.2013641,0.2
-13.80136,0.6
-13.80136,0.3
-13.70136,0.00E+00
-13.70136,-0.3
-13.50136,-0.6
-13.40136,-0.9
-13.20136,-1.1
-13.00136,-1.3
-12.80136,-1.6
-12.60136,-1.7
-12.30136,-1.9
-12.00136,-2
-11.80136,-2.1
-11.50136,-2.1
-11.20136,-2.2
-11.00136,-2.2
-10.80136,-2.2
-10.60136,-2.2
-10.40136,-2.2
-10.30136,-2.2
-10.10136,-2.2
-10.00136,-2.1
-9.901364,-2.1
-9.801364,-2.1
-9.701365,-2.2
-9.701365,-2.2
-9.601364,-2.2
-9.601364,-2.2
-9.501365,-2.3
-9.501365,-2.3
-9.401364,-2.3
-9.301364,-2.4
-9.201365,-2.4
-9.101364,-2.5
-8.901364,-2.6
-8.801364,-2.6
-8.501365,-2.7
-8.401364,-2.7
-8.101364,-2.8
-8.001365,-2.8
-7.701364,-2.9
-7.501364,-2.9
-7.201364,-2.9
-7.001364,-2.8
-6.701364,-2.8
-6.501364,-2.8
-6.201364,-2.7
-6.001364,-2.7
-5.701364,-2.6
-5.501364,-2.5
-5.201364,-2.5
-5.001364,-2.4
-4.701364,-2.3
-4.501364,-2.2
-4.201364,-2.2
-4.001364,-2.1
-3.701364,-2.1
-3.501364,-2.1
-3.201364,-2.1
-3.001364,-2.1
-2.701364,-2.1
-2.501364,-2.1
-2.201364,-2.2
-1.901364,-2.2
-1.601364,-2.2
-1.401364,-2.2
-1.101364,-2.2
-0.8013641,-2.2
-15.00136,0.3
-15.10136,-1.00E-01
-15.10136,-0.5
-15.10136,-0.8
-15.10136,-1.1
-15.00136,-1.3
-14.80136,-1.6
-14.60136,-1.7
-14.40136,-2
-14.20136,-2.1
-13.90136,-2.3
-13.70136,-2.3
-13.50136,-2.4
-13.20136,-2.4
-13.00136,-2.5
-12.70136,-2.4
-12.50136,-2.4
-12.30136,-2.2
-12.10136,-2.2
-11.90136,-2
-11.60136,-2
-11.40136,-1.9
-11.20136,-2
-11.10136,-2
-10.90136,-2.1
-10.80136,-2.2
-10.70136,-2.3
-10.60136,-2.5
-10.50136,-2.6
-10.40136,-2.7
-10.30136,-3
-10.30136,-3.1
-10.10136,-3.3
-9.901364,-3.4
-9.801364,-3.6
-9.501365,-3.7
-9.401364,-3.9
-9.101364,-4
-8.901364,-4.2
-8.601364,-4.2
-8.401364,-4.4
-8.101364,-4.5
-7.901364,-4.6
-7.601364,-4.6
-7.401364,-4.7
-7.101364,-4.7
-6.801364,-4.8
-6.601364,-4.7
-6.301364,-4.7
-6.001364,-4.7
-5.801364,-4.7
-5.501364,-4.6
-5.301364,-4.6
-5.001364,-4.5
-4.801364,-4.5
-4.501364,-4.4
-4.201364,-4.4
-3.901364,-4.4
-3.701364,-4.4
-3.401364,-4.4
-3.001364,-4.4
-2.701364,-4.4
-2.401364,-4.5
-2.001364,-4.5
-1.701364,-4.5
-1.301364,-4.5
-1.001364,-4.5
-0.6013641,-4.4
-14.90136,-0.9
-15.10136,-1.4
-15.10136,-1.7
-15.20136,-1.9
-15.10136,-2.1
-15.10136,-2.1
-14.90136,-2.1
-14.70136,-2
-14.40136,-1.9
-14.10136,-1.8
-13.80136,-1.7
-13.50136,-1.6
-13.20136,-1.5
-12.90136,-1.4
-12.70136,-1.4
-12.50136,-1.3
-12.20136,-1.2
-12.00136,-1.1
-11.70136,-1
-11.30136,-1
-11.00136,-1
-10.70136,-1.1
-10.30136,-1.2
-10.10136,-1.4
-9.801364,-1.6
-9.601364,-1.8
-9.501365,-2
-9.401364,-2.3
-9.201365,-2.5
-9.101364,-2.7
-9.001365,-2.9
-8.901364,-3.1
-8.601364,-3.4
-8.501365,-3.6
-8.301364,-3.8
-8.101364,-4
-7.801364,-4.3
-7.701364,-4.5
-7.401364,-4.7
-7.301364,-4.9
-7.101364,-5.2
-6.901364,-5.4
-6.701364,-5.6
-6.601364,-5.7
-6.301364,-5.9
-6.201364,-6
-5.901364,-6.2
-5.701364,-6.2
-5.501364,-6.3
-5.301364,-6.3
-5.101364,-6.3
-4.901364,-6.3
-4.601364,-6.3
-4.401364,-6.3
-4.201364,-6.3
-4.001364,-6.3
-3.701364,-6.3
-3.401364,-6.3
-3.201364,-6.3
