X,Y
-133.5,81
-135,81
-136.5,81
-138,81
-139.5,81
-141,81
-142.5,81
-144,81
-145.5,81
-147,81
-148.5,81
-150,81
-49.5,79.5
-51,79.5
-52.5,79.5
-54,79.5
-55.5,79.5
-57,79.5
-58.5,79.5
-60,79.5
-61.5,79.5
-63,79.5
-64.5,79.5
-66,79.5
-67.5,79.5
-69,79.5
-70.5,79.5
-72,79.5
-73.5,79.5
-75,79.5
-76.5,79.5
-78,79.5
-79.5,79.5
-81,79.5
-82.5,79.5
-84,79.5
-85.5,79.5
-87,79.5
-88.5,79.5
-90,79.5
-91.5,79.5
-93,79.5
-94.5,79.5
-96,79.5
-97.5,79.5
-99,79.5
-100.5,79.5
-102,79.5
-103.5,79.5
-105,79.5
-106.5,79.5
-108,79.5
-109.5,79.5
-111,79.5
-112.5,79.5
-114,79.5
-115.5,79.5
-117,79.5
-118.5,79.5
-120,79.5
-121.5,79.5
-123,79.5
-124.5,79.5
-126,79.5
-127.5,79.5
-129,79.5
-130.5,79.5
-132,79.5
-133.5,79.5
-135,79.5
-136.5,79.5
-138,79.5
-139.5,79.5
-141,79.5
-142.5,79.5
-144,79.5
-145.5,79.5
-147,79.5
-148.5,79.5
-150,79.5
-49.5,78
-51,78
-52.5,78
-54,78
-55.5,78
-57,78
-58.5,78
-60,78
-61.5,78
-63,78
-64.5,78
-66,78
-67.5,78
-69,78
-70.5,78
-72,78
-73.5,78
-75,78
-76.5,78
-78,78
-79.5,78
-81,78
-82.5,78
-84,78
-85.5,78
-87,78
-88.5,78
-90,78
-91.5,78
-93,78
-94.5,78
-96,78
-97.5,78
-99,78
-100.5,78
-102,78
-103.5,78
-105,78
-106.5,78
-108,78
-109.5,78
-111,78
-112.5,78
-114,78
-115.5,78
-117,78
-118.5,78
-120,78
-121.5,78
-123,78
-124.5,78
-126,78
-127.5,78
-129,78
-130.5,78
-132,78
-133.5,78
-135,78
-136.5,78
-138,78
-139.5,78
-141,78
-142.5,78
-144,78
-145.5,78
-147,78
-148.5,78
-150,78
-49.5,76.5
-51,76.5
-52.5,76.5
-54,76.5
-55.5,76.5
-57,76.5
-58.5,76.5
-60,76.5
-61.5,76.5
-63,76.5
-64.5,76.5
-66,76.5
-67.5,76.5
-69,76.5
-70.5,76.5
-72,76.5
-73.5,76.5
-75,76.5
-76.5,76.5
-78,76.5
-79.5,76.5
-81,76.5
-82.5,76.5
-84,76.5
-85.5,76.5
-87,76.5
-88.5,76.5
-90,76.5
-91.5,76.5
-93,76.5
-94.5,76.5
-96,76.5
-97.5,76.5
-99,76.5
-100.5,76.5
-102,76.5
-103.5,76.5
-105,76.5
-106.5,76.5
-108,76.5
-109.5,76.5
-111,76.5
-112.5,76.5
-114,76.5
-115.5,76.5
-117,76.5
-118.5,76.5
-120,76.5
-121.5,76.5
-123,76.5
-124.5,76.5
-126,76.5
-127.5,76.5
-129,76.5
-130.5,76.5
-132,76.5
-133.5,76.5
-135,76.5
-136.5,76.5
-138,76.5
-139.5,76.5
-141,76.5
-142.5,76.5
-144,76.5
-145.5,76.5
-147,76.5
-148.5,76.5
-150,76.5
-49.5,75
-51,75
-52.5,75
-54,75
-55.5,75
-57,75
-58.5,75
-60,75
-61.5,75
-63,75
-64.5,75
-66,75
-67.5,75
-69,75
-70.5,75
-72,75
-73.5,75
-75,75
-76.5,75
-78,75
-79.5,75
-81,75
-82.5,75
-84,75
-85.5,75
-87,75
-88.5,75
-90,75
-91.5,75
-93,75
-94.5,75
-96,75
-97.5,75
-99,75
-100.5,75
-102,75
-103.5,75
-105,75
-106.5,75
-108,75
-109.5,75
-111,75
-112.5,75
-114,75
-115.5,75
-117,75
-118.5,75
-120,75
-121.5,75
-123,75
-124.5,75
-126,75
-127.5,75
-129,75
-130.5,75
-132,75
-133.5,75
-135,75
-136.5,75
-138,75
-139.5,75
-141,75
-142.5,75
-144,75
-145.5,75
-147,75
-148.5,75
-150,75
-49.5,73.5
-51,73.5
-52.5,73.5
-54,73.5
-55.5,73.5
-57,73.5
-58.5,73.5
-60,73.5
-61.5,73.5
-63,73.5
-64.5,73.5
-66,73.5
-67.5,73.5
-69,73.5
-70.5,73.5
-72,73.5
-73.5,73.5
-75,73.5
-76.5,73.5
-78,73.5
-79.5,73.5
-81,73.5
-82.5,73.5
-84,73.5
-85.5,73.5
-87,73.5
-88.5,73.5
-90,73.5
-91.5,73.5
-93,73.5
-94.5,73.5
-96,73.5
-97.5,73.5
-99,73.5
-100.5,73.5
-102,73.5
-103.5,73.5
-105,73.5
-106.5,73.5
-108,73.5
-109.5,73.5
-111,73.5
-112.5,73.5
-114,73.5
-115.5,73.5
-117,73.5
-118.5,73.5
-120,73.5
-121.5,73.5
-123,73.5
-124.5,73.5
-126,73.5
-127.5,73.5
-129,73.5
-130.5,73.5
-132,73.5
-133.5,73.5
-135,73.5
-136.5,73.5
-138,73.5
-139.5,73.5
-141,73.5
-142.5,73.5
-144,73.5
-145.5,73.5
-147,73.5
-148.5,73.5
-150,73.5
-49.5,72
-51,72
-52.5,72
-54,72
-55.5,72
-57,72
-58.5,72
-60,72
-61.5,72
-63,72
-64.5,72
-66,72
-67.5,72
-69,72
-70.5,72
-72,72
-73.5,72
-75,72
-76.5,72
-78,72
-79.5,72
-81,72
-82.5,72
-84,72
-85.5,72
-87,72
-88.5,72
-90,72
-91.5,72
-93,72
-94.5,72
-96,72
-97.5,72
-99,72
-100.5,72
-102,72
-103.5,72
-105,72
-106.5,72
-108,72
-109.5,72
-111,72
-112.5,72
-114,72
-115.5,72
-117,72
-118.5,72
-120,72
-121.5,72
-123,72
-124.5,72
-126,72
-127.5,72
-129,72
-130.5,72
-132,72
-133.5,72
-135,72
-136.5,72
-138,72
-139.5,72
-141,72
-142.5,72
-144,72
-145.5,72
-147,72
-148.5,72
-150,72
-49.5,70.5
-51,70.5
-52.5,70.5
-54,70.5
-55.5,70.5
-57,70.5
-58.5,70.5
-60,70.5
-61.5,70.5
-63,70.5
-64.5,70.5
-66,70.5
-67.5,70.5
-69,70.5
-70.5,70.5
-72,70.5
-73.5,70.5
-75,70.5
-76.5,70.5
-78,70.5
-79.5,70.5
-81,70.5
-82.5,70.5
-84,70.5
-85.5,70.5
-87,70.5
-88.5,70.5
-90,70.5
-91.5,70.5
-93,70.5
-94.5,70.5
-96,70.5
-97.5,70.5
-99,70.5
-100.5,70.5
-102,70.5
-103.5,70.5
-105,70.5
-106.5,70.5
-108,70.5
-109.5,70.5
-111,70.5
-112.5,70.5
-114,70.5
-115.5,70.5
-117,70.5
-118.5,70.5
-120,70.5
-121.5,70.5
-123,70.5
-124.5,70.5
-126,70.5
-127.5,70.5
-129,70.5
-130.5,70.5
-132,70.5
-133.5,70.5
-135,70.5
-136.5,70.5
-138,70.5
-139.5,70.5
-141,70.5
-142.5,70.5
-144,70.5
-145.5,70.5
-147,70.5
-148.5,70.5
-150,70.5
-49.5,69
-51,69
-52.5,69
-54,69
-55.5,69
-57,69
-58.5,69
-60,69
-61.5,69
-63,69
-64.5,69
-66,69
-67.5,69
-69,69
-70.5,69
-72,69
-73.5,69
-75,69
-76.5,69
-78,69
-79.5,69
-81,69
-82.5,69
-84,69
-85.5,69
-87,69
-88.5,69
-90,69
-91.5,69
-93,69
-94.5,69
-96,69
-97.5,69
-99,69
-100.5,69
-102,69
-103.5,69
-105,69
-106.5,69
-108,69
-109.5,69
-111,69
-112.5,69
-114,69
-115.5,69
-117,69
-118.5,69
-120,69
-121.5,69
-123,69
-124.5,69
-126,69
-127.5,69
-129,69
-130.5,69
-132,69
-133.5,69
-135,69
-136.5,69
-138,69
-139.5,69
-141,69
-142.5,69
-144,69
-145.5,69
-147,69
-148.5,69
-150,69
-49.5,67.5
-51,67.5
-52.5,67.5
-54,67.5
-55.5,67.5
-57,67.5
-58.5,67.5
-60,67.5
-61.5,67.5
-63,67.5
-64.5,67.5
-66,67.5
-67.5,67.5
-69,67.5
-70.5,67.5
-72,67.5
-73.5,67.5
-75,67.5
-76.5,67.5
-78,67.5
-79.5,67.5
-81,67.5
-82.5,67.5
-84,67.5
-85.5,67.5
-87,67.5
-88.5,67.5
-90,67.5
-91.5,67.5
-93,67.5
-94.5,67.5
-96,67.5
-97.5,67.5
-99,67.5
-100.5,67.5
-102,67.5
-103.5,67.5
-105,67.5
-106.5,67.5
-108,67.5
-109.5,67.5
-111,67.5
-112.5,67.5
-114,67.5
-115.5,67.5
-117,67.5
-118.5,67.5
-120,67.5
-121.5,67.5
-123,67.5
-124.5,67.5
-126,67.5
-127.5,67.5
-129,67.5
-130.5,67.5
-132,67.5
-133.5,67.5
-135,67.5
-136.5,67.5
-138,67.5
-139.5,67.5
-141,67.5
-142.5,67.5
-144,67.5
-145.5,67.5
-147,67.5
-148.5,67.5
-150,67.5
-49.5,66
-51,66
-52.5,66
-54,66
-55.5,66
-57,66
-58.5,66
-60,66
-61.5,66
-63,66
-64.5,66
-66,66
-67.5,66
-69,66
-70.5,66
-72,66
-73.5,66
-75,66
-76.5,66
-78,66
-79.5,66
-81,66
-82.5,66
-84,66
-85.5,66
-87,66
-88.5,66
-90,66
-91.5,66
-93,66
-94.5,66
-96,66
-97.5,66
-99,66
-100.5,66
-102,66
-103.5,66
-105,66
-106.5,66
-108,66
-109.5,66
-111,66
-112.5,66
-114,66
-115.5,66
-117,66
-118.5,66
-120,66
-121.5,66
-123,66
-124.5,66
-126,66
-127.5,66
-129,66
-130.5,66
-132,66
-133.5,66
-135,66
-136.5,66
-138,66
-139.5,66
-141,66
-142.5,66
-144,66
-145.5,66
-147,66
-148.5,66
-150,66
-49.5,64.5
-51,64.5
-52.5,64.5
-54,64.5
-55.5,64.5
-57,64.5
-58.5,64.5
-60,64.5
-61.5,64.5
-63,64.5
-64.5,64.5
-66,64.5
-67.5,64.5
-69,64.5
-70.5,64.5
-72,64.5
-73.5,64.5
-75,64.5
-76.5,64.5
-78,64.5
-79.5,64.5
-81,64.5
-82.5,64.5
-84,64.5
-85.5,64.5
-87,64.5
-88.5,64.5
-90,64.5
-91.5,64.5
-93,64.5
-94.5,64.5
-96,64.5
-97.5,64.5
-99,64.5
-100.5,64.5
-102,64.5
-103.5,64.5
-105,64.5
-106.5,64.5
-108,64.5
-109.5,64.5
-111,64.5
-112.5,64.5
-114,64.5
-115.5,64.5
-117,64.5
-118.5,64.5
-120,64.5
-121.5,64.5
-123,64.5
-124.5,64.5
-126,64.5
-127.5,64.5
-129,64.5
-130.5,64.5
-132,64.5
-133.5,64.5
-135,64.5
-136.5,64.5
-138,64.5
-139.5,64.5
-141,64.5
-142.5,64.5
-144,64.5
-145.5,64.5
-147,64.5
-148.5,64.5
-150,64.5
-49.5,63
-51,63
-52.5,63
-54,63
-55.5,63
-57,63
-58.5,63
-60,63
-61.5,63
-63,63
-64.5,63
-66,63
-67.5,63
-69,63
-70.5,63
-72,63
-73.5,63
-75,63
-76.5,63
-78,63
-79.5,63
-81,63
-82.5,63
-84,63
-85.5,63
-87,63
-88.5,63
-90,63
-91.5,63
-93,63
-94.5,63
-96,63
-97.5,63
-99,63
-100.5,63
-102,63
-103.5,63
-105,63
-106.5,63
-108,63
-109.5,63
-111,63
-112.5,63
-114,63
-115.5,63
