ID,TYPE,SIMPLEX,DEGREE,VALUE,PARENT,ROBUSTNESS
0,merge,4789,-2,33.637,,13.691291
1,merge,4789,0,13.691,0,13.691291
2,saddle,4789,-1,0.000,1,13.691291
3,source,5595,1,0.000,1,13.691291
4,merge,6081,-2,18.948,0,4.3660345
5,merge,6081,0,4.366,4,4.3660345
6,saddle,6081,-1,0.000,5,4.3660345
7,sink,6756,1,0.000,5,4.3660345
8,merge,8198,-2,8.769,4,3.4028235E38
9,merge,8198,-3,2.820,8,3.4028235E38
10,saddle,8198,-1,0.000,9,3.4028235E38
11,merge,8344,-2,2.307,9,3.4028235E38
12,saddle,8344,-1,0.000,11,3.4028235E38
13,saddle,8621,-1,0.000,11,3.4028235E38
14,sink,8452,1,0.000,8,3.4028235E38
