ID,TYPE,SIMPLEX,DEGREE,VALUE,PARENT
0,merge,132,-5,36.605,
1,merge,132,0,4.871,0
2,source,132,1,0.000,1
3,saddle,136,-1,0.000,1
4,merge,4788,-5,34.819,0
5,merge,4788,-2,14.700,4
6,merge,4788,-3,12.396,5
7,saddle,4788,-1,0.000,6
8,merge,4792,-2,4.887,6
9,saddle,4792,-1,0.000,8
10,saddle,4933,-1,0.000,8
11,source,5597,1,0.000,5
12,merge,6083,-3,18.704,4
13,merge,6083,0,4.505,12
14,saddle,6083,-1,0.000,13
15,sink,6757,1,0.000,13
16,merge,8199,-3,8.851,12
17,merge,8199,-3,3.823,16
18,saddle,8199,-1,0.000,17
19,merge,8342,-2,3.605,17
20,saddle,8342,-1,0.000,19
21,saddle,8754,-1,0.000,19
22,merge,8452,0,5.590,16
23,source,8452,1,0.000,22
24,saddle,8723,-1,0.000,22
